timeslice,season,daypart,tech_code,tech_type,cf_dispatch,cf_ninja,cf_da_workbook,cf_default,source_notes
S1D5,Winter (Dec-Feb),Late night (22-24),PWRHYDLKAXX,Major_Hydro,0.402368,,,,dispatch: 361 days (compiled CSV)
S1D5,Winter (Dec-Feb),Late night (22-24),PWRWONLKAXX,Wind,0.387229,0.400430,,,dispatch: 361 days (compiled CSV)
S1D5,Winter (Dec-Feb),Late night (22-24),PWRSPVLKAXX,Solar,0.000000,0.000000,,,dispatch: 361 days (compiled CSV)
S1D5,Winter (Dec-Feb),Late night (22-24),PWRBIOLKAXX,Biomass,0.310972,,,,dispatch: 361 days (compiled CSV)
S1D5,Winter (Dec-Feb),Late night (22-24),PWRMNHLKAXX,Mini_Hydro,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRCOALKAXX,Coal,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWROILKA_CEB,Oil_CEB,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWROILKA_IPP,Oil_IPP,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRHYDLKAXX,Major_Hydro,0.169192,,,,dispatch: 361 days (compiled CSV)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRWONLKAXX,Wind,0.345613,0.245407,,,dispatch: 361 days (compiled CSV)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRSPVLKAXX,Solar,0.000002,0.000000,,,dispatch: 361 days (compiled CSV)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRBIOLKAXX,Biomass,0.187994,,,,dispatch: 361 days (compiled CSV)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRMNHLKAXX,Mini_Hydro,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Solar day (06-17),PWRCOALKAXX,Coal,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Solar day (06-17),PWROILKA_CEB,Oil_CEB,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Solar day (06-17),PWROILKA_IPP,Oil_IPP,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Solar day (06-17),PWRHYDLKAXX,Major_Hydro,0.282157,,,,dispatch: 361 days (compiled CSV)
S2D2,Pre-monsoon (Mar-May),Solar day (06-17),PWRWONLKAXX,Wind,0.327385,0.211455,,,dispatch: 361 days (compiled CSV)
S2D2,Pre-monsoon (Mar-May),Solar day (06-17),PWRSPVLKAXX,Solar,0.087383,0.360341,,,dispatch: 361 days (compiled CSV)
S2D2,Pre-monsoon (Mar-May),Solar day (06-17),PWRBIOLKAXX,Biomass,0.183392,,,,dispatch: 361 days (compiled CSV)
S2D2,Pre-monsoon (Mar-May),Solar day (06-17),PWRMNHLKAXX,Mini_Hydro,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Evening peak (17-20),PWRCOALKAXX,Coal,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Evening peak (17-20),PWROILKA_CEB,Oil_CEB,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Evening peak (17-20),PWROILKA_IPP,Oil_IPP,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Evening peak (17-20),PWRHYDLKAXX,Major_Hydro,0.468994,,,,dispatch: 361 days (compiled CSV)
S2D3,Pre-monsoon (Mar-May),Evening peak (17-20),PWRWONLKAXX,Wind,0.384071,0.246621,,,dispatch: 361 days (compiled CSV)
S2D3,Pre-monsoon (Mar-May),Evening peak (17-20),PWRSPVLKAXX,Solar,0.002032,0.001709,,,dispatch: 361 days (compiled CSV)
S2D3,Pre-monsoon (Mar-May),Evening peak (17-20),PWRBIOLKAXX,Biomass,0.183611,,,,dispatch: 361 days (compiled CSV)
S2D3,Pre-monsoon (Mar-May),Evening peak (17-20),PWRMNHLKAXX,Mini_Hydro,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D4,Pre-monsoon (Mar-May),Late evening (20-22),PWRCOALKAXX,Coal,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D4,Pre-monsoon (Mar-May),Late evening (20-22),PWROILKA_CEB,Oil_CEB,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
S2D4,Pre-monsoon (Mar-May),Late evening (20-22),PWROILKA_IPP,Oil_IPP,,,,1.0,dispatch: 361 days (compiled CSV); CF=1.0 (dispatchable)
