REGION,YEAR,VALUE
GLOBAL,2023,133762.24220477938
GLOBAL,2024,145075.2950984725
GLOBAL,2025,174409.4064602797
GLOBAL,2026,148191.19331222575
GLOBAL,2027,121407.72748987036
GLOBAL,2028,127331.45958754847
GLOBAL,2029,136597.3025878188
GLOBAL,2030,115366.49108840183
GLOBAL,2031,85032.22823923489
GLOBAL,2032,86802.31128322668
GLOBAL,2033,78966.0053443098
GLOBAL,2034,74492.1324479683
GLOBAL,2035,75358.79857629703
GLOBAL,2036,64092.30712744779
GLOBAL,2037,61137.172469434714
GLOBAL,2038,57429.85316405009
GLOBAL,2039,54001.44132766673
GLOBAL,2040,50587.43417937306
GLOBAL,2041,47866.02592115666
GLOBAL,2042,46615.403737876055
GLOBAL,2043,44544.36084340368
GLOBAL,2044,41199.92563094618
GLOBAL,2045,38452.641120943954
GLOBAL,2046,35489.360211071275
GLOBAL,2047,32653.61947195984
GLOBAL,2048,29845.10008653865
GLOBAL,2049,27095.946612669894
GLOBAL,2050,24537.19257590957
