resource,region,model_year,timeslice,season,daypart,season_name,daypart_name,cf_mean,cf_std,cf_max,cf_min,n_hours,param_lat,param_lon,utc_offset,yearsplit
solar,BGDXX,2017,S1D2,S1,D2,Winter (Dec-Feb),Day (08-16),0.525075,0.139701,0.767,0.158,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2017,S1D3,S1,D3,Winter (Dec-Feb),Evening (16-24),0.014188,0.039499,0.212,0.0,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2017,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-08),0.033035,0.071408,0.279,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2017,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (08-16),0.497781,0.143611,0.779,0.093,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2017,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (16-24),0.027837,0.061514,0.248,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2017,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-08),0.023872,0.052356,0.262,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2017,S3D2,S3,D2,SW Monsoon (Jun-Sep),Day (08-16),0.35231,0.134089,0.676,0.07,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2017,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening (16-24),0.020855,0.047256,0.251,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2017,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-08),0.017828,0.048375,0.229,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2017,S4D2,S4,D2,Post-monsoon (Oct-Nov),Day (08-16),0.454617,0.17709,0.728,0.049,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2017,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening (16-24),0.014951,0.043355,0.21,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2018,S1D1,S1,D1,Winter (Dec-Feb),Night (00-08),0.014965,0.041804,0.228,0.0,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2018,S1D2,S1,D2,Winter (Dec-Feb),Day (08-16),0.4902,0.149878,0.746,0.05,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2018,S1D3,S1,D3,Winter (Dec-Feb),Evening (16-24),0.012142,0.034119,0.178,0.0,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2018,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-08),0.033277,0.07154,0.277,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2018,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (08-16),0.496364,0.135224,0.765,0.119,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2018,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (16-24),0.027917,0.061677,0.238,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2018,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-08),0.024837,0.054677,0.263,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2018,S3D2,S3,D2,SW Monsoon (Jun-Sep),Day (08-16),0.381379,0.125653,0.69,0.089,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2018,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening (16-24),0.024427,0.053462,0.25,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2018,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-08),0.019318,0.050612,0.227,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2018,S4D2,S4,D2,Post-monsoon (Oct-Nov),Day (08-16),0.495541,0.151231,0.717,0.078,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2018,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening (16-24),0.016529,0.04464,0.199,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2019,S1D1,S1,D1,Winter (Dec-Feb),Night (00-08),0.016869,0.046737,0.255,0.0,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2019,S1D2,S1,D2,Winter (Dec-Feb),Day (08-16),0.503493,0.147919,0.765,0.078,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2019,S1D3,S1,D3,Winter (Dec-Feb),Evening (16-24),0.01329,0.036997,0.199,0.0,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2019,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-08),0.034159,0.073274,0.286,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2019,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (08-16),0.516068,0.126465,0.795,0.085,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2019,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (16-24),0.029955,0.065163,0.247,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2019,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-08),0.027633,0.059712,0.284,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2019,S3D2,S3,D2,SW Monsoon (Jun-Sep),Day (08-16),0.384775,0.134582,0.705,0.088,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2019,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening (16-24),0.024962,0.055557,0.262,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2019,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-08),0.017568,0.04769,0.229,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2019,S4D2,S4,D2,Post-monsoon (Oct-Nov),Day (08-16),0.464494,0.165046,0.719,0.053,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2019,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening (16-24),0.015281,0.042232,0.19,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2020,S1D1,S1,D1,Winter (Dec-Feb),Night (00-08),0.01631,0.045233,0.243,0.0,728,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2020,S1D2,S1,D2,Winter (Dec-Feb),Day (08-16),0.491754,0.15304,0.765,0.029,728,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2020,S1D3,S1,D3,Winter (Dec-Feb),Evening (16-24),0.012048,0.033854,0.205,0.0,728,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2020,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-08),0.035246,0.075671,0.284,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2020,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (08-16),0.531785,0.124969,0.77,0.162,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2020,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (16-24),0.031427,0.067994,0.26,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2020,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-08),0.025695,0.05687,0.279,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2020,S3D2,S3,D2,SW Monsoon (Jun-Sep),Day (08-16),0.381361,0.139979,0.706,0.076,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2020,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening (16-24),0.024166,0.053991,0.247,0.0,976,23.7231,90.4086,6.0,0.111416
solar,BGDXX,2020,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-08),0.01765,0.04776,0.202,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2020,S4D2,S4,D2,Post-monsoon (Oct-Nov),Day (08-16),0.464391,0.166455,0.734,0.044,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2020,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening (16-24),0.015307,0.042742,0.205,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2021,S1D1,S1,D1,Winter (Dec-Feb),Night (00-08),0.015583,0.043467,0.218,0.0,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2021,S1D2,S1,D2,Winter (Dec-Feb),Day (08-16),0.490012,0.145521,0.731,0.092,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2021,S1D3,S1,D3,Winter (Dec-Feb),Evening (16-24),0.011857,0.033349,0.198,0.0,720,23.7231,90.4086,6.0,0.082192
solar,BGDXX,2021,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-08),0.031336,0.068077,0.278,0.0,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2021,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (08-16),0.491371,0.136412,0.732,0.121,736,23.7231,90.4086,6.0,0.084018
solar,BGDXX,2021,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (16-24),0.028696,0.06254,0.242,0.0,736,23.7231,90.4086,6.0,0.084018
