REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,1,2023,201.60267836681015
GLOBAL,S1D2,DSPTRNBGDXX,1,2023,245.14273411211607
GLOBAL,S1D3,DSPTRNBGDXX,1,2023,288.64245748562143
GLOBAL,S1D4,DSPTRNBGDXX,1,2023,293.60585999032594
GLOBAL,S1D5,DSPTRNBGDXX,1,2023,209.0061893654476
GLOBAL,S2D1,DSPTRNBGDXX,1,2023,277.9823291228407
GLOBAL,S2D2,DSPTRNBGDXX,1,2023,255.32864585138108
GLOBAL,S2D3,DSPTRNBGDXX,1,2023,441.528832448147
GLOBAL,S2D4,DSPTRNBGDXX,1,2023,474.15120249600005
GLOBAL,S2D5,DSPTRNBGDXX,1,2023,420.52913134967866
GLOBAL,S3D1,DSPTRNBGDXX,1,2023,319.6155675836852
GLOBAL,S3D2,DSPTRNBGDXX,1,2023,272.04001257791083
GLOBAL,S3D3,DSPTRNBGDXX,1,2023,294.23038848313706
GLOBAL,S3D4,DSPTRNBGDXX,1,2023,343.22623879787346
GLOBAL,S3D5,DSPTRNBGDXX,1,2023,294.71620476326444
GLOBAL,S4D1,DSPTRNBGDXX,1,2023,238.7348277258551
GLOBAL,S4D2,DSPTRNBGDXX,1,2023,226.31347708090047
GLOBAL,S4D3,DSPTRNBGDXX,1,2023,276.58783544714606
GLOBAL,S4D4,DSPTRNBGDXX,1,2023,282.5196592042783
GLOBAL,S4D5,DSPTRNBGDXX,1,2023,227.41275147109812
GLOBAL,S1D1,DSPTRNBGDXX,2,2023,161.12776780800002
GLOBAL,S1D2,DSPTRNBGDXX,2,2023,161.12776780800002
GLOBAL,S1D3,DSPTRNBGDXX,2,2023,161.12776780800002
GLOBAL,S1D4,DSPTRNBGDXX,2,2023,161.12776780800002
GLOBAL,S1D5,DSPTRNBGDXX,2,2023,161.12776780800002
GLOBAL,S2D1,DSPTRNBGDXX,2,2023,161.12776780800002
GLOBAL,S2D2,DSPTRNBGDXX,2,2023,161.12776780799996
GLOBAL,S2D3,DSPTRNBGDXX,2,2023,7.509254072308746
GLOBAL,S2D4,DSPTRNBGDXX,2,2023,4.54119074370476
GLOBAL,S3D1,DSPTRNBGDXX,2,2023,161.12776780800002
GLOBAL,S3D2,DSPTRNBGDXX,2,2023,161.12776780800002
GLOBAL,S3D3,DSPTRNBGDXX,2,2023,161.12776780800002
GLOBAL,S3D4,DSPTRNBGDXX,2,2023,161.127767808
GLOBAL,S3D5,DSPTRNBGDXX,2,2023,161.127767808
GLOBAL,S4D1,DSPTRNBGDXX,2,2023,161.127767808
GLOBAL,S4D2,DSPTRNBGDXX,2,2023,161.12776780800002
GLOBAL,S4D3,DSPTRNBGDXX,2,2023,161.12776780800002
GLOBAL,S4D4,DSPTRNBGDXX,2,2023,161.127767808
GLOBAL,S4D5,DSPTRNBGDXX,2,2023,161.127767808
GLOBAL,S1D1,DSPTRNBGDXX,1,2024,129.7509345067994
GLOBAL,S1D2,DSPTRNBGDXX,1,2024,173.8781956735229
GLOBAL,S1D3,DSPTRNBGDXX,1,2024,218.73671336448
GLOBAL,S1D4,DSPTRNBGDXX,1,2024,222.1523404748982
GLOBAL,S1D5,DSPTRNBGDXX,1,2024,137.95648085303642
GLOBAL,S2D1,DSPTRNBGDXX,1,2024,211.6102412309178
GLOBAL,S2D2,DSPTRNBGDXX,1,2024,194.48403391668597
GLOBAL,S2D3,DSPTRNBGDXX,1,2024,445.82940532240207
GLOBAL,S2D4,DSPTRNBGDXX,1,2024,474.2932772217601
GLOBAL,S2D5,DSPTRNBGDXX,1,2024,426.7933763650341
GLOBAL,S3D1,DSPTRNBGDXX,1,2024,249.92589778497825
GLOBAL,S3D2,DSPTRNBGDXX,1,2024,199.12400396249257
GLOBAL,S3D3,DSPTRNBGDXX,1,2024,222.95842191648
GLOBAL,S3D4,DSPTRNBGDXX,1,2024,275.1377279350464
GLOBAL,S3D5,DSPTRNBGDXX,1,2024,223.33798333822008
GLOBAL,S4D1,DSPTRNBGDXX,1,2024,168.50280041977504
GLOBAL,S4D2,DSPTRNBGDXX,1,2024,155.23909521401853
GLOBAL,S4D3,DSPTRNBGDXX,1,2024,208.9228118917454
GLOBAL,S4D4,DSPTRNBGDXX,1,2024,215.25690259540517
GLOBAL,S4D5,DSPTRNBGDXX,1,2024,156.41291695599972
GLOBAL,S1D1,DSPTRNBGDXX,2,2024,257.57809634778494
GLOBAL,S1D2,DSPTRNBGDXX,2,2024,259.94356214409265
GLOBAL,S1D3,DSPTRNBGDXX,2,2024,261.5347039024073
GLOBAL,S1D4,DSPTRNBGDXX,2,2024,263.419072704
GLOBAL,S1D5,DSPTRNBGDXX,2,2024,257.278130496
GLOBAL,S2D1,DSPTRNBGDXX,2,2024,257.278130496
GLOBAL,S2D2,DSPTRNBGDXX,2,2024,250.2143937916023
GLOBAL,S2D3,DSPTRNBGDXX,2,2024,33.66022314111392
GLOBAL,S2D4,DSPTRNBGDXX,2,2024,36.86166636310072
GLOBAL,S2D5,DSPTRNBGDXX,2,2024,22.253960602354613
GLOBAL,S3D1,DSPTRNBGDXX,2,2024,263.41907270400003
GLOBAL,S3D2,DSPTRNBGDXX,2,2024,263.41907270400003
GLOBAL,S3D3,DSPTRNBGDXX,2,2024,263.279872188496
GLOBAL,S3D4,DSPTRNBGDXX,2,2024,263.41907270400003
GLOBAL,S3D5,DSPTRNBGDXX,2,2024,263.41907270400003
GLOBAL,S4D1,DSPTRNBGDXX,2,2024,258.47649849600003
GLOBAL,S4D2,DSPTRNBGDXX,2,2024,258.476498496
GLOBAL,S4D3,DSPTRNBGDXX,2,2024,258.47649849600003
GLOBAL,S4D4,DSPTRNBGDXX,2,2024,258.476498496
GLOBAL,S4D5,DSPTRNBGDXX,2,2024,258.476498496
GLOBAL,S1D1,DSPTRNBGDXX,1,2025,298.29976131168
GLOBAL,S1D2,DSPTRNBGDXX,1,2025,205.963071142735
GLOBAL,S1D3,DSPTRNBGDXX,1,2025,298.37471639184
GLOBAL,S1D4,DSPTRNBGDXX,1,2025,298.3709718072
GLOBAL,S1D5,DSPTRNBGDXX,1,2025,298.36491437232
GLOBAL,S2D1,DSPTRNBGDXX,1,2025,297.63528517728
GLOBAL,S2D2,DSPTRNBGDXX,1,2025,234.8217223589085
GLOBAL,S2D3,DSPTRNBGDXX,1,2025,435.6591342150683
GLOBAL,S2D4,DSPTRNBGDXX,1,2025,474.44483482272
GLOBAL,S2D5,DSPTRNBGDXX,1,2025,423.5221550565305
GLOBAL,S3D1,DSPTRNBGDXX,1,2025,302.53014983232003
GLOBAL,S3D2,DSPTRNBGDXX,1,2025,257.19026866756894
GLOBAL,S3D3,DSPTRNBGDXX,1,2025,304.36723883088
GLOBAL,S3D4,DSPTRNBGDXX,1,2025,311.6597355461616
GLOBAL,S3D5,DSPTRNBGDXX,1,2025,302.53722524928
GLOBAL,S4D1,DSPTRNBGDXX,1,2025,302.16660156288003
GLOBAL,S4D2,DSPTRNBGDXX,1,2025,346.28221420128006
GLOBAL,S4D3,DSPTRNBGDXX,1,2025,302.21782485696
GLOBAL,S4D4,DSPTRNBGDXX,1,2025,302.19150428064
GLOBAL,S4D5,DSPTRNBGDXX,1,2025,302.20379480592004
GLOBAL,S1D1,DSPTRNBGDXX,2,2025,115.29582823474787
GLOBAL,S1D2,DSPTRNBGDXX,2,2025,257.278130496
GLOBAL,S1D3,DSPTRNBGDXX,2,2025,214.4661092197362
GLOBAL,S1D4,DSPTRNBGDXX,2,2025,220.12926675616384
GLOBAL,S1D5,DSPTRNBGDXX,2,2025,123.67236935359004
GLOBAL,S2D1,DSPTRNBGDXX,2,2025,203.05055834955536
GLOBAL,S2D2,DSPTRNBGDXX,2,2025,240.03374605918285
GLOBAL,S2D3,DSPTRNBGDXX,2,2025,76.34688590744419
GLOBAL,S2D4,DSPTRNBGDXX,2,2025,71.37387072357849
GLOBAL,S2D5,DSPTRNBGDXX,2,2025,55.97714211081063
GLOBAL,S3D1,DSPTRNBGDXX,2,2025,245.62709839055643
GLOBAL,S3D2,DSPTRNBGDXX,2,2025,236.71997622785915
GLOBAL,S3D3,DSPTRNBGDXX,2,2025,214.8451049138844
GLOBAL,S3D4,DSPTRNBGDXX,2,2025,263.41907270400003
GLOBAL,S3D5,DSPTRNBGDXX,2,2025,217.22906005983185
GLOBAL,S4D1,DSPTRNBGDXX,2,2025,153.76812264190212
GLOBAL,S4D2,DSPTRNBGDXX,2,2025,95.48933209235689
GLOBAL,S4D3,DSPTRNBGDXX,2,2025,196.87797724931096
GLOBAL,S4D4,DSPTRNBGDXX,2,2025,203.66793228143365
