REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D3,417.999289250742
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D4,474.60587529888
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D5,420.450342998371
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D1,321.91184709207954
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D2,288.3729959708716
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D3,297.14496564818035
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D4,350.65911175783674
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D5,303.01161215184004
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D1,228.37776157436687
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D2,213.25409773366653
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D3,274.4658385073509
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D4,281.68815361859754
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D5,214.5925235475126
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D1,188.7110682045792
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D2,245.31841857709944
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D3,298.67884453008
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D4,303.38378268647614
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D5,199.5348979526813
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D1,297.88884597024
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D2,299.60282813138247
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D3,410.6946610490709
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D4,474.77875438944
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S2D5,415.684729125148
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S3D1,337.1995554414944
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S3D2,295.46398019205384
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S3D3,305.39411343216
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S3D4,367.89629009360897
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S3D5,304.8273654867303
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S4D1,236.98736351177627
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S4D2,295.57122690067945
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S4D3,286.20086207198057
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S4D4,293.91295200894007
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S4D5,222.2672919242125
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S1D1,181.10987552544265
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S1D2,241.55603471810923
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S1D3,298.84608592992004
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S1D4,303.8942614108824
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S1D5,298.87270294464
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S2D1,298.02800235456
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S2D2,312.9151014742478
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S2D3,400.9657124861086
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S2D4,474.96208261824
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S2D5,411.1528009660989
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S3D1,340.00323965702074
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S3D2,312.50196828421963
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S3D3,305.95965514271995
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S3D4,372.7816632586578
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S3D5,305.4357403032475
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S4D1,232.66001189761923
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S4D2,215.4155934966667
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S4D3,303.51223196064
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S4D4,293.4459904285305
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2028,S4D5,303.53325543504
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S1D1,191.38319349921665
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S1D2,255.9285924320917
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S1D3,308.13325106503527
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S1D4,315.4911836456596
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S1D5,203.5568017172427
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S2D1,305.8095981659636
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S2D2,344.47963820112
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S2D3,674.2011852230276
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S2D4,706.3077691553744
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S2D5,638.4301987646569
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S3D1,352.85057410516293
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S3D2,282.32280089183337
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S3D3,316.4170079245546
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S3D4,387.85191175864185
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S3D5,315.93883205734227
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S4D1,232.94995545075076
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S4D2,214.53608300755425
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S4D3,298.8812432088
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S4D4,298.89274659552
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2029,S4D5,216.16568827188945
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S1D1,203.48934066594387
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S1D2,233.70709363048684
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S1D3,303.7641095856076
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S1D4,298.1416963028115
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S1D5,289.029820968
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S2D1,634.5790376642695
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S2D2,340.31143488816
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S2D3,725.8348579679109
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S2D4,754.7229607307955
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S2D5,747.880122904225
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S3D1,338.1158498659626
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S3D2,276.17166157106374
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S3D3,297.9319366039536
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S3D4,375.4907748318562
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S3D5,298.7009679818526
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S4D1,223.5635861375252
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S4D2,203.90099187585696
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S4D3,283.48366678590907
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S4D4,294.30874742976005
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2030,S4D5,294.33463280928
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S1D1,186.45038879884171
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S1D2,268.52921802975294
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S1D3,341.8845475195508
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S1D4,321.95291508281446
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S1D5,209.0733233290329
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S2D1,741.8751863273214
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S2D2,305.1073520301021
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S2D3,809.0328413263295
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S2D4,807.2903852412096
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S2D5,806.9804611015295
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S3D1,364.1315308096077
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S3D2,284.78869053079103
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S3D3,322.9944555219891
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S3D4,403.5075867441234
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S3D5,322.60629443422164
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2031,S4D1,229.2448726635605
