REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S3D5,ELCBGDXX03,2025,14.477570111
GLOBAL,S4D1,ELCBGDXX03,2025,19.049408712
GLOBAL,S4D2,ELCBGDXX03,2025,33.838816903
GLOBAL,S4D3,ELCBGDXX03,2025,10.426111306000001
GLOBAL,S4D4,ELCBGDXX03,2025,7.045104373
GLOBAL,S4D5,ELCBGDXX03,2025,6.170008761
GLOBAL,S1D1,ELCBGDXX03,2026,27.224694539999998
GLOBAL,S1D2,ELCBGDXX03,2026,55.90307934
GLOBAL,S1D3,ELCBGDXX03,2026,16.878727889999997
GLOBAL,S1D4,ELCBGDXX03,2026,11.37666114
GLOBAL,S1D5,ELCBGDXX03,2026,9.26012142
GLOBAL,S2D1,ELCBGDXX03,2026,33.68981808
GLOBAL,S2D2,ELCBGDXX03,2026,58.57789023
GLOBAL,S2D3,ELCBGDXX03,2026,17.225761319999997
GLOBAL,S2D4,ELCBGDXX03,2026,12.242423699999998
GLOBAL,S2D5,ELCBGDXX03,2026,10.754914589999998
GLOBAL,S3D1,ELCBGDXX03,2026,48.91142231999999
GLOBAL,S3D2,ELCBGDXX03,2026,80.79635439
GLOBAL,S3D3,ELCBGDXX03,2026,23.16435138
GLOBAL,S3D4,ELCBGDXX03,2026,17.104533749999998
GLOBAL,S3D5,ELCBGDXX03,2026,15.459376769999999
GLOBAL,S4D1,ELCBGDXX03,2026,20.341257839999997
GLOBAL,S4D2,ELCBGDXX03,2026,36.13362021
GLOBAL,S4D3,ELCBGDXX03,2026,11.13316542
GLOBAL,S4D4,ELCBGDXX03,2026,7.522873109999999
GLOBAL,S4D5,ELCBGDXX03,2026,6.58843227
GLOBAL,S1D1,ELCBGDXX03,2027,29.070912798
GLOBAL,S1D2,ELCBGDXX03,2027,59.694096558
GLOBAL,S1D3,ELCBGDXX03,2027,18.023343692999998
GLOBAL,S1D4,ELCBGDXX03,2027,12.148159218
GLOBAL,S1D5,ELCBGDXX03,2027,9.888088254000001
GLOBAL,S2D1,ELCBGDXX03,2027,35.974462896
GLOBAL,S2D2,ELCBGDXX03,2027,62.550297351000005
GLOBAL,S2D3,ELCBGDXX03,2027,18.393910883999997
GLOBAL,S2D4,ELCBGDXX03,2027,13.072632689999999
GLOBAL,S2D5,ELCBGDXX03,2027,11.484249483
GLOBAL,S3D1,ELCBGDXX03,2027,52.228306583999995
GLOBAL,S3D2,ELCBGDXX03,2027,86.275486743
GLOBAL,S3D3,ELCBGDXX03,2027,24.735221105999997
GLOBAL,S3D4,ELCBGDXX03,2027,18.264462375
GLOBAL,S3D5,ELCBGDXX03,2027,16.507740548999998
GLOBAL,S4D1,ELCBGDXX03,2027,21.720682007999997
GLOBAL,S4D2,ELCBGDXX03,2027,38.58398927699999
GLOBAL,S4D3,ELCBGDXX03,2027,11.888151054
GLOBAL,S4D4,ELCBGDXX03,2027,8.033030006999999
GLOBAL,S4D5,ELCBGDXX03,2027,7.0352208990000005
GLOBAL,S1D1,ELCBGDXX03,2028,31.042347174
GLOBAL,S1D2,ELCBGDXX03,2028,63.742232054000006
GLOBAL,S1D3,ELCBGDXX03,2028,19.245590809
GLOBAL,S1D4,ELCBGDXX03,2028,12.971982634
GLOBAL,S1D5,ELCBGDXX03,2028,10.558645702000002
