REGION,YEAR,VALUE
GLOBAL,2023,130763.57418059972
GLOBAL,2024,142567.90734860837
GLOBAL,2025,172886.69948716954
GLOBAL,2026,145500.97572728488
GLOBAL,2027,116792.74997569555
GLOBAL,2028,113789.5201026282
GLOBAL,2029,113722.00832388079
GLOBAL,2030,99615.35030712477
GLOBAL,2031,89810.20195737893
GLOBAL,2032,93889.94132710769
GLOBAL,2033,87024.0103622374
GLOBAL,2034,84869.64746026722
GLOBAL,2035,82380.62032146254
GLOBAL,2036,74372.96818207623
GLOBAL,2037,71286.34039874711
GLOBAL,2038,66860.92325150855
GLOBAL,2039,62572.099383037734
GLOBAL,2040,58571.180411841706
GLOBAL,2041,54687.57261750648
GLOBAL,2042,51714.97422151134
GLOBAL,2043,48472.08767069923
GLOBAL,2044,45396.35774799532
GLOBAL,2045,42494.699346921945
GLOBAL,2046,39722.6343166384
GLOBAL,2047,37341.92313567419
GLOBAL,2048,34758.467506035035
GLOBAL,2049,32352.154648758766
GLOBAL,2050,30228.895886163777
