REGION,STORAGE,SEASON,YEAR,VALUE
GLOBAL,LDSINDNO01,4,2043,-4.576438528136607e-08
GLOBAL,LDSINDNO01,4,2044,-1.4399999037628677e-07
GLOBAL,LDSINDNO01,4,2045,-1.439994143856427e-07
GLOBAL,LDSINDNO01,4,2046,-1.4399941437633238e-07
GLOBAL,LDSINDNO01,4,2047,-1.439999903731564e-07
GLOBAL,LDSINDNO01,4,2049,-1.439999999987979e-07
GLOBAL,LDSINDSO01,1,2039,1.2035968673107522e-07
GLOBAL,LDSINDSO01,1,2045,7.735719068438507e-08
GLOBAL,LDSINDSO01,2,2039,1.2035968673107522e-07
GLOBAL,LDSINDSO01,2,2041,6.1975801886327e-09
GLOBAL,LDSINDSO01,2,2045,7.735720472697161e-08
GLOBAL,LDSINDSO01,3,2032,-3.7871845981474205e-07
GLOBAL,LDSINDSO01,3,2033,-3.7871845981474205e-07
GLOBAL,LDSINDSO01,3,2034,-3.78719974682834e-07
GLOBAL,LDSINDSO01,3,2035,-3.78719974682834e-07
GLOBAL,LDSINDSO01,3,2036,-3.78719974682834e-07
GLOBAL,LDSINDSO01,3,2037,-3.7871845981474205e-07
GLOBAL,LDSINDSO01,3,2038,-3.7871845981474205e-07
GLOBAL,LDSINDSO01,3,2041,-3.773622968272772e-08
GLOBAL,LDSINDSO01,3,2042,-4.393380987136042e-08
GLOBAL,LDSINDSO01,3,2043,-1.830575411263316e-08
GLOBAL,LDSINDSO01,3,2046,-1.830575411263316e-08
GLOBAL,LDSINDSO01,3,2047,-1.830575411263316e-08
GLOBAL,LDSINDSO01,4,2032,-3.7871845981474205e-07
GLOBAL,LDSINDSO01,4,2033,-3.7871845981474205e-07
GLOBAL,LDSINDSO01,4,2034,-3.78719974682834e-07
GLOBAL,LDSINDSO01,4,2035,-3.78719974682834e-07
GLOBAL,LDSINDSO01,4,2036,-3.78719974682834e-07
GLOBAL,LDSINDSO01,4,2037,-3.7871845981474205e-07
GLOBAL,LDSINDSO01,4,2038,-3.7871845981474205e-07
GLOBAL,LDSINDSO01,4,2041,-3.773622968272772e-08
GLOBAL,LDSINDSO01,4,2042,-4.393380987136042e-08
GLOBAL,LDSINDSO01,4,2045,7.735720024547591e-08
GLOBAL,LDSINDSO01,4,2046,-1.830575411263316e-08
GLOBAL,LDSINDSO01,4,2047,-1.830575411263316e-08
GLOBAL,LDSINDWE01,1,2040,-1.2524277641135428e-08
GLOBAL,LDSINDWE01,1,2044,8.878278583146493e-08
GLOBAL,LDSINDWE01,2,2041,1.2524276633146814e-08
GLOBAL,LDSINDWE01,2,2044,8.878279458828058e-08
GLOBAL,LDSINDWE01,3,2030,-2.810799812104359e-07
GLOBAL,LDSINDWE01,3,2031,-2.810788568945177e-07
GLOBAL,LDSINDWE01,3,2032,-2.810799812069664e-07
GLOBAL,LDSINDWE01,3,2033,-2.810788568841094e-07
GLOBAL,LDSINDWE01,3,2034,-2.810799812069664e-07
GLOBAL,LDSINDWE01,3,2035,-2.810799812069664e-07
GLOBAL,LDSINDWE01,3,2036,-2.7935998132486156e-07
GLOBAL,LDSINDWE01,3,2037,-2.793599813265963e-07
GLOBAL,LDSINDWE01,3,2038,-2.7935998132486156e-07
GLOBAL,LDSINDWE01,3,2039,-8.878290744598893e-08
GLOBAL,LDSINDWE01,3,2040,-8.878290744598893e-08
GLOBAL,LDSINDWE01,3,2041,-7.625863081284211e-08
GLOBAL,LDSINDWE01,3,2042,-8.878290744945838e-08
GLOBAL,LDSINDWE01,3,2043,-8.878290744598893e-08
GLOBAL,LDSINDWE01,3,2045,-3.751844584176656e-07
GLOBAL,LDSINDWE01,3,2046,-8.878290744945838e-08
GLOBAL,LDSINDWE01,3,2047,-8.878290744598893e-08
GLOBAL,LDSINDWE01,3,2048,-2.7935998133006573e-07
GLOBAL,LDSINDWE01,3,2049,-2.793588638888567e-07
GLOBAL,LDSINDWE01,4,2030,-2.810799812069664e-07
GLOBAL,LDSINDWE01,4,2031,-2.810788568945177e-07
GLOBAL,LDSINDWE01,4,2032,-2.810799812069664e-07
GLOBAL,LDSINDWE01,4,2033,-2.810788568841094e-07
GLOBAL,LDSINDWE01,4,2034,-2.810799812069664e-07
GLOBAL,LDSINDWE01,4,2035,-2.810799812069664e-07
GLOBAL,LDSINDWE01,4,2036,-2.7935998132486156e-07
GLOBAL,LDSINDWE01,4,2037,-2.793599813265963e-07
GLOBAL,LDSINDWE01,4,2038,-2.7935998132486156e-07
GLOBAL,LDSINDWE01,4,2039,-8.878290744598893e-08
GLOBAL,LDSINDWE01,4,2040,-8.878290744598893e-08
GLOBAL,LDSINDWE01,4,2041,-7.625863081284211e-08
GLOBAL,LDSINDWE01,4,2042,-8.878290744945838e-08
GLOBAL,LDSINDWE01,4,2043,-8.878290744598893e-08
GLOBAL,LDSINDWE01,4,2045,-2.793599813144532e-07
GLOBAL,LDSINDWE01,4,2047,-8.878290744598893e-08
GLOBAL,LDSINDWE01,4,2048,-2.7935998133006573e-07
GLOBAL,LDSINDWE01,4,2049,-2.793588638888567e-07
GLOBAL,SDSINDEA01,1,2048,59.9602368150702
GLOBAL,SDSINDEA01,1,2049,59.9602368150702
GLOBAL,SDSINDEA01,1,2050,59.9602368150702
GLOBAL,SDSINDEA01,2,2048,59.9602368150702
GLOBAL,SDSINDEA01,2,2049,59.9602368150702
GLOBAL,SDSINDEA01,2,2050,59.9602368150702
GLOBAL,SDSINDEA01,3,2048,59.95999268422501
GLOBAL,SDSINDEA01,3,2049,59.96000266109325
GLOBAL,SDSINDEA01,3,2050,59.95996718159516
GLOBAL,SDSINDEA01,4,2048,59.960104845778254
GLOBAL,SDSINDEA01,4,2049,59.96004778044227
GLOBAL,SDSINDEA01,4,2050,59.96004621999464
GLOBAL,SDSINDNO01,1,2035,8.380408865070377e-09
GLOBAL,SDSINDNO01,1,2036,-4.6074676717140766e-08
GLOBAL,SDSINDNO01,1,2038,8.380408865070377e-09
GLOBAL,SDSINDNO01,1,2042,-8.219247156038105e-09
GLOBAL,SDSINDNO01,1,2045,-3.260897820278781e-08
GLOBAL,SDSINDNO01,1,2046,49.861669196998896
GLOBAL,SDSINDNO01,1,2047,296.5225299070237
GLOBAL,SDSINDNO01,1,2048,330.2506372861035
GLOBAL,SDSINDNO01,1,2049,330.2506372861035
GLOBAL,SDSINDNO01,1,2050,330.2506372861035
GLOBAL,SDSINDNO01,2,2034,1.1613398714427956e-08
