REGION,STORAGE,YEAR,VALUE
GLOBAL,SDSINDEA01,2048,503619.0624532322
GLOBAL,SDSINDNO01,2046,387776.84992821945
GLOBAL,SDSINDNO01,2047,1995026.4006679612
GLOBAL,SDSINDNO01,2048,283289.70529190573
GLOBAL,SDSINDSO01,2047,9236.440806439197
GLOBAL,SDSINDSO01,2048,110632.30725975386
GLOBAL,SDSINDSO01,2049,10089.85202604993
GLOBAL,SDSINDWE01,2046,394973.0992738222
