REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRCOABGDXX,CO2BGD,2,2023,41.49647062829538
GLOBAL,PWRCOABGDXX,CO2BGD,2,2024,41.49647062829537
GLOBAL,PWRCOABGDXX,CO2BGD,2,2025,51.13492588596734
GLOBAL,PWRCOABGDXX,CO2BGD,2,2026,51.134925885967334
GLOBAL,PWRCOABGDXX,CO2BGD,2,2027,51.134925885967334
GLOBAL,PWRCOABGDXX,CO2BGD,2,2028,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2,2029,49.94910381487192
GLOBAL,PWRCOABGDXX,CO2BGD,2,2030,51.37296652339155
GLOBAL,PWRCOABGDXX,CO2BGD,2,2031,51.968068116952324
GLOBAL,PWRCOABGDXX,CO2BGD,2,2032,52.56901119854806
GLOBAL,PWRCOABGDXX,CO2BGD,2,2033,53.171414652152535
GLOBAL,PWRCOABGDXX,CO2BGD,2,2034,53.77016717573539
GLOBAL,PWRCOABGDXX,CO2BGD,2,2035,54.35942728126122
GLOBAL,PWRCOABGDXX,CO2BGD,2,2036,54.93335348069527
GLOBAL,PWRCOABGDXX,CO2BGD,2,2037,55.48610428600263
GLOBAL,PWRCOABGDXX,CO2BGD,2,2038,56.00891746513083
GLOBAL,PWRCOABGDXX,CO2BGD,2,2039,56.49376097203188
GLOBAL,PWRCOABGDXX,CO2BGD,2,2040,56.93260276065767
GLOBAL,PWRCOABGDXX,CO2BGD,2,2041,57.31595041295156
GLOBAL,PWRCOABGDXX,CO2BGD,2,2042,57.26994869467631
GLOBAL,PWRCOABGDXX,CO2BGD,2,2043,57.62773983681717
GLOBAL,PWRCOABGDXX,CO2BGD,2,2044,58.21188864031243
GLOBAL,PWRCOABGDXX,CO2BGD,2,2045,58.7624488876067
GLOBAL,PWRCOABGDXX,CO2BGD,2,2046,57.57662681651133
GLOBAL,PWRCOABGDXX,CO2BGD,2,2047,56.39080474541592
GLOBAL,PWRCOABGDXX,CO2BGD,2,2048,55.2057128603249
GLOBAL,PWRCOABGDXX,CO2BGD,2,2049,54.019890789229486
GLOBAL,PWRCOABGDXX,CO2BGD,2,2050,52.834068718134105
GLOBAL,PWRCOAINDEA,CO2IND,2,2023,222.44087752249135
GLOBAL,PWRCOAINDEA,CO2IND,2,2024,259.46586532501277
GLOBAL,PWRCOAINDEA,CO2IND,2,2025,254.558248004276
GLOBAL,PWRCOAINDEA,CO2IND,2,2026,270.2206900000648
GLOBAL,PWRCOAINDEA,CO2IND,2,2027,289.4530938371598
GLOBAL,PWRCOAINDEA,CO2IND,2,2028,311.23836775057026
GLOBAL,PWRCOAINDEA,CO2IND,2,2029,336.92314116598607
GLOBAL,PWRCOAINDEA,CO2IND,2,2030,344.9679762365277
GLOBAL,PWRCOAINDEA,CO2IND,2,2031,357.56086400974846
GLOBAL,PWRCOAINDEA,CO2IND,2,2032,362.63715211814963
GLOBAL,PWRCOAINDEA,CO2IND,2,2033,366.1082378380031
GLOBAL,PWRCOAINDEA,CO2IND,2,2034,368.3776239620145
GLOBAL,PWRCOAINDEA,CO2IND,2,2035,420.38721192349425
GLOBAL,PWRCOAINDEA,CO2IND,2,2036,420.25098984921084
GLOBAL,PWRCOAINDEA,CO2IND,2,2037,421.52926834086645
GLOBAL,PWRCOAINDEA,CO2IND,2,2038,421.4475350962966
GLOBAL,PWRCOAINDEA,CO2IND,2,2039,420.00726278657356
GLOBAL,PWRCOAINDEA,CO2IND,2,2040,417.20697874062483
GLOBAL,PWRCOAINDEA,CO2IND,2,2041,414.1121604800085
GLOBAL,PWRCOAINDEA,CO2IND,2,2042,416.61643764021665
GLOBAL,PWRCOAINDEA,CO2IND,2,2043,423.75152899053097
GLOBAL,PWRCOAINDEA,CO2IND,2,2044,434.9276297660796
GLOBAL,PWRCOAINDEA,CO2IND,2,2045,449.1919217824149
GLOBAL,PWRCOAINDEA,CO2IND,2,2046,466.67252742291595
GLOBAL,PWRCOAINDEA,CO2IND,2,2047,482.18049016068363
GLOBAL,PWRCOAINDEA,CO2IND,2,2048,485.44392925919664
GLOBAL,PWRCOAINDEA,CO2IND,2,2049,477.66012630107804
GLOBAL,PWRCOAINDEA,CO2IND,2,2050,469.8763233429592
GLOBAL,PWRCOAINDNE,CO2IND,2,2023,5.79853591704864
GLOBAL,PWRCOAINDNE,CO2IND,2,2024,6.1379435527265525
GLOBAL,PWRCOAINDNE,CO2IND,2,2025,6.498999055828117
GLOBAL,PWRCOAINDNE,CO2IND,2,2026,4.925259677937621
GLOBAL,PWRCOAINDNE,CO2IND,2,2027,5.4892928301118635
GLOBAL,PWRCOAINDNE,CO2IND,2,2028,5.981352117890972
GLOBAL,PWRCOAINDNE,CO2IND,2,2029,5.792806130714914
GLOBAL,PWRCOAINDNE,CO2IND,2,2030,5.134448886385783
GLOBAL,PWRCOAINDNE,CO2IND,2,2031,7.0770235904234395
GLOBAL,PWRCOAINDNE,CO2IND,2,2032,6.9579788877118744
GLOBAL,PWRCOAINDNE,CO2IND,2,2033,8.441895157100545
GLOBAL,PWRCOAINDNE,CO2IND,2,2034,8.582606295354255
GLOBAL,PWRCOAINDNE,CO2IND,2,2035,6.546118159765042
GLOBAL,PWRCOAINDNE,CO2IND,2,2036,8.81918656076985
GLOBAL,PWRCOAINDNE,CO2IND,2,2037,8.989276947669945
GLOBAL,PWRCOAINDNE,CO2IND,2,2038,9.141585157757758
GLOBAL,PWRCOAINDNE,CO2IND,2,2039,9.275338052910993
GLOBAL,PWRCOAINDNE,CO2IND,2,2040,9.3905356331297
GLOBAL,PWRCOAINDNE,CO2IND,2,2041,9.48640476029157
GLOBAL,PWRCOAINDNE,CO2IND,2,2042,9.632527865401203
GLOBAL,PWRCOAINDNE,CO2IND,2,2043,9.781743522999928
GLOBAL,PWRCOAINDNE,CO2IND,2,2044,9.933278594965461
GLOBAL,PWRCOAINDNE,CO2IND,2,2045,10.1598080647915
GLOBAL,PWRCOAINDNE,CO2IND,2,2046,10.500761976713935
GLOBAL,PWRCOAINDNE,CO2IND,2,2047,10.955367192610565
GLOBAL,PWRCOAINDNE,CO2IND,2,2048,11.52130429811451
GLOBAL,PWRCOAINDNE,CO2IND,2,2049,12.197800155103518
GLOBAL,PWRCOAINDNE,CO2IND,2,2050,12.982535349210766
GLOBAL,PWRCOAINDNO,CO2IND,2,2023,325.54813782748937
GLOBAL,PWRCOAINDNO,CO2IND,2,2024,341.2032287838125
GLOBAL,PWRCOAINDNO,CO2IND,2,2025,340.80794023827605
GLOBAL,PWRCOAINDNO,CO2IND,2,2026,329.5389325147876
GLOBAL,PWRCOAINDNO,CO2IND,2,2027,336.910008348625
GLOBAL,PWRCOAINDNO,CO2IND,2,2028,359.4714384586498
GLOBAL,PWRCOAINDNO,CO2IND,2,2029,377.50363591583846
GLOBAL,PWRCOAINDNO,CO2IND,2,2030,385.26699857044
GLOBAL,PWRCOAINDNO,CO2IND,2,2031,406.08921953365524
GLOBAL,PWRCOAINDNO,CO2IND,2,2032,433.8263616840271
GLOBAL,PWRCOAINDNO,CO2IND,2,2033,457.1967040524762
GLOBAL,PWRCOAINDNO,CO2IND,2,2034,464.19856775968816
GLOBAL,PWRCOAINDNO,CO2IND,2,2035,470.4163298575301
GLOBAL,PWRCOAINDNO,CO2IND,2,2036,475.84999034600065
GLOBAL,PWRCOAINDNO,CO2IND,2,2037,482.61082092092124
GLOBAL,PWRCOAINDNO,CO2IND,2,2038,488.51910837977005
GLOBAL,PWRCOAINDNO,CO2IND,2,2039,493.57485272254746
GLOBAL,PWRCOAINDNO,CO2IND,2,2040,496.4315416978659
GLOBAL,PWRCOAINDNO,CO2IND,2,2041,499.73086867847434
GLOBAL,PWRCOAINDNO,CO2IND,2,2042,505.1451870020077
GLOBAL,PWRCOAINDNO,CO2IND,2,2043,517.5048303967845
GLOBAL,PWRCOAINDNO,CO2IND,2,2044,536.8827039460286
GLOBAL,PWRCOAINDNO,CO2IND,2,2045,563.0891056474726
GLOBAL,PWRCOAINDNO,CO2IND,2,2046,598.3297862333616
GLOBAL,PWRCOAINDNO,CO2IND,2,2047,641.9798449903445
GLOBAL,PWRCOAINDNO,CO2IND,2,2048,693.5438249242648
GLOBAL,PWRCOAINDNO,CO2IND,2,2049,752.5999180536096
GLOBAL,PWRCOAINDNO,CO2IND,2,2050,763.0151877913513
GLOBAL,PWRCOAINDSO,CO2IND,2,2023,192.4745448473463
GLOBAL,PWRCOAINDSO,CO2IND,2,2024,201.12654174205852
GLOBAL,PWRCOAINDSO,CO2IND,2,2025,183.12659599959522
