REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSINDEA01,2023,0.0194399999999999
GLOBAL,LDSINDEA01,2024,0.0194399999999999
GLOBAL,LDSINDEA01,2025,0.0194399999999999
GLOBAL,LDSINDEA01,2026,0.0194399999999999
GLOBAL,LDSINDEA01,2027,0.0194399999999999
GLOBAL,LDSINDEA01,2028,0.0194399999999999
GLOBAL,LDSINDEA01,2029,0.0194399999999999
GLOBAL,LDSINDEA01,2030,0.0194399999999999
GLOBAL,LDSINDEA01,2031,0.0194399999999999
GLOBAL,LDSINDEA01,2032,0.0194399999999999
GLOBAL,LDSINDEA01,2033,0.0194399999999999
GLOBAL,LDSINDEA01,2034,0.0194399999999999
GLOBAL,LDSINDEA01,2035,0.0194399999999999
GLOBAL,LDSINDEA01,2036,0.0194399999999999
GLOBAL,LDSINDEA01,2037,0.0194399999999999
GLOBAL,LDSINDEA01,2038,0.0194399999999999
GLOBAL,LDSINDEA01,2039,0.0194399999999999
GLOBAL,LDSINDEA01,2040,0.0194399999999999
GLOBAL,LDSINDEA01,2041,0.0194399999999999
GLOBAL,LDSINDEA01,2042,0.0194399999999999
GLOBAL,LDSINDEA01,2043,0.0194399999999999
GLOBAL,LDSINDEA01,2044,0.0194399999999999
GLOBAL,LDSINDEA01,2045,0.0194399999999999
GLOBAL,LDSINDEA01,2046,0.0194399999999999
GLOBAL,LDSINDEA01,2047,0.0194399999999999
GLOBAL,LDSINDEA01,2048,0.0194399999999999
GLOBAL,LDSINDEA01,2049,0.0194399999999999
GLOBAL,LDSINDEA01,2050,0.0194399999999999
GLOBAL,LDSINDNO01,2023,0.0359999999999999
GLOBAL,LDSINDNO01,2024,0.0359999999999999
GLOBAL,LDSINDNO01,2025,0.0359999999999999
GLOBAL,LDSINDNO01,2026,0.0359999999999999
GLOBAL,LDSINDNO01,2027,0.0359999999999999
GLOBAL,LDSINDNO01,2028,0.0359999999999999
GLOBAL,LDSINDNO01,2029,0.0359999999999999
GLOBAL,LDSINDNO01,2030,0.0359999999999999
GLOBAL,LDSINDNO01,2031,0.0359999999999999
GLOBAL,LDSINDNO01,2032,0.0359999999999999
GLOBAL,LDSINDNO01,2033,0.0359999999999999
GLOBAL,LDSINDNO01,2034,0.0359999999999999
GLOBAL,LDSINDNO01,2035,0.0359999999999999
GLOBAL,LDSINDNO01,2036,0.0359999999999999
GLOBAL,LDSINDNO01,2037,0.0359999999999999
GLOBAL,LDSINDNO01,2038,0.0359999999999999
GLOBAL,LDSINDNO01,2039,0.0359999999999999
GLOBAL,LDSINDNO01,2040,0.0359999999999999
GLOBAL,LDSINDNO01,2041,0.0359999999999999
GLOBAL,LDSINDNO01,2042,0.0359999999999999
GLOBAL,LDSINDNO01,2043,0.0359999999999999
GLOBAL,LDSINDNO01,2044,0.0359999999999999
GLOBAL,LDSINDNO01,2045,0.0359999999999999
GLOBAL,LDSINDNO01,2046,0.0359999999999999
GLOBAL,LDSINDNO01,2047,0.0359999999999999
GLOBAL,LDSINDNO01,2048,0.0359999999999999
GLOBAL,LDSINDNO01,2049,0.0359999999999999
GLOBAL,LDSINDNO01,2050,0.0359999999999999
GLOBAL,LDSINDSO01,2023,0.09468
GLOBAL,LDSINDSO01,2024,0.09468
GLOBAL,LDSINDSO01,2025,0.09468
GLOBAL,LDSINDSO01,2026,0.09468
