REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINCOAIND,1,2041,2.4
GLOBAL,MINCOAIND,1,2042,2.4
GLOBAL,MINCOAIND,1,2043,2.4
GLOBAL,MINCOAIND,1,2044,2.4
GLOBAL,MINCOAIND,1,2045,2.4
GLOBAL,MINCOAIND,1,2046,2.42
GLOBAL,MINCOAIND,1,2047,2.44
GLOBAL,MINCOAIND,1,2048,2.46
GLOBAL,MINCOAIND,1,2049,2.48
GLOBAL,MINCOAIND,1,2050,2.5
GLOBAL,MINCOAINT,1,2023,7.664
GLOBAL,MINCOAINT,1,2024,7.664
GLOBAL,MINCOAINT,1,2025,7.664
GLOBAL,MINCOAINT,1,2026,7.664
GLOBAL,MINCOAINT,1,2027,7.664
GLOBAL,MINCOAINT,1,2028,7.664
GLOBAL,MINCOAINT,1,2029,7.664
GLOBAL,MINCOAINT,1,2030,7.664
GLOBAL,MINCOAINT,1,2031,7.664
GLOBAL,MINCOAINT,1,2032,7.664
GLOBAL,MINCOAINT,1,2033,7.664
GLOBAL,MINCOAINT,1,2034,7.664
GLOBAL,MINCOAINT,1,2035,7.664
GLOBAL,MINCOAINT,1,2036,7.664
GLOBAL,MINCOAINT,1,2037,7.664
GLOBAL,MINCOAINT,1,2038,7.664
GLOBAL,MINCOAINT,1,2039,7.664
GLOBAL,MINCOAINT,1,2040,7.664
GLOBAL,MINCOAINT,1,2041,7.664
GLOBAL,MINCOAINT,1,2042,7.664
GLOBAL,MINCOAINT,1,2043,7.664
GLOBAL,MINCOAINT,1,2044,7.664
GLOBAL,MINCOAINT,1,2045,7.664
GLOBAL,MINCOAINT,1,2046,7.664
GLOBAL,MINCOAINT,1,2047,7.664
GLOBAL,MINCOAINT,1,2048,7.664
GLOBAL,MINCOAINT,1,2049,7.664
GLOBAL,MINCOAINT,1,2050,7.664
GLOBAL,MINCOALKA,1,2023,2.2
GLOBAL,MINCOALKA,1,2024,2.2
GLOBAL,MINCOALKA,1,2025,2.2
GLOBAL,MINCOALKA,1,2026,2.22
GLOBAL,MINCOALKA,1,2027,2.24
GLOBAL,MINCOALKA,1,2028,2.26
GLOBAL,MINCOALKA,1,2029,2.28
GLOBAL,MINCOALKA,1,2030,2.3
GLOBAL,MINCOALKA,1,2031,2.3
GLOBAL,MINCOALKA,1,2032,2.3
GLOBAL,MINCOALKA,1,2033,2.3
GLOBAL,MINCOALKA,1,2034,2.3
GLOBAL,MINCOALKA,1,2035,2.3
GLOBAL,MINCOALKA,1,2036,2.32
GLOBAL,MINCOALKA,1,2037,2.34
GLOBAL,MINCOALKA,1,2038,2.36
GLOBAL,MINCOALKA,1,2039,2.38
GLOBAL,MINCOALKA,1,2040,2.4
GLOBAL,MINCOALKA,1,2041,2.4
