resource,region,model_year,timeslice,season,daypart,season_name,daypart_name,cf_mean,cf_std,cf_max,cf_min,n_hours,param_lat,param_lon,utc_offset,yearsplit
solar,BGDXX,2015,S4D2,S4,D2,Post-monsoon (Oct-Nov),Solar day (06-17),0.385858,0.223849,0.731,0.0,671,23.7231,90.4086,6.0,0.076598
solar,BGDXX,2015,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening peak (17-20),0.00082,0.00238,0.012,0.0,183,23.7231,90.4086,6.0,0.02089
solar,BGDXX,2015,S4D4,S4,D4,Post-monsoon (Oct-Nov),Late evening (20-22),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2015,S4D5,S4,D5,Post-monsoon (Oct-Nov),Late night (22-24),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2016,S1D1,S1,D1,Winter (Dec-Feb),Night (00-06),0.0,0.0,0.0,0.0,546,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2016,S1D2,S1,D2,Winter (Dec-Feb),Solar day (06-17),0.362922,0.22152,0.737,0.0,1001,23.7231,90.4086,6.0,0.113014
solar,BGDXX,2016,S1D3,S1,D3,Winter (Dec-Feb),Evening peak (17-20),0.000275,0.001438,0.013,0.0,273,23.7231,90.4086,6.0,0.030822
solar,BGDXX,2016,S1D4,S1,D4,Winter (Dec-Feb),Late evening (20-22),0.0,0.0,0.0,0.0,182,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2016,S1D5,S1,D5,Winter (Dec-Feb),Late night (22-24),0.0,0.0,0.0,0.0,182,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2016,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-06),1.1e-05,0.000147,0.003,0.0,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2016,S2D2,S2,D2,Pre-monsoon (Mar-May),Solar day (06-17),0.408526,0.199754,0.743,0.007,1012,23.7231,90.4086,6.0,0.115525
solar,BGDXX,2016,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening peak (17-20),0.015293,0.025061,0.092,0.0,276,23.7231,90.4086,6.0,0.031507
solar,BGDXX,2016,S2D4,S2,D4,Pre-monsoon (Mar-May),Late evening (20-22),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2016,S2D5,S2,D5,Pre-monsoon (Mar-May),Late night (22-24),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2016,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-06),6.4e-05,0.000422,0.004,0.0,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2016,S3D2,S3,D2,SW Monsoon (Jun-Sep),Solar day (06-17),0.315319,0.169312,0.716,0.007,1342,23.7231,90.4086,6.0,0.153196
solar,BGDXX,2016,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening peak (17-20),0.014986,0.02646,0.104,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2016,S3D4,S3,D4,SW Monsoon (Jun-Sep),Late evening (20-22),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2016,S3D5,S3,D5,SW Monsoon (Jun-Sep),Late night (22-24),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2016,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-06),0.0,0.0,0.0,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2016,S4D2,S4,D2,Post-monsoon (Oct-Nov),Solar day (06-17),0.368531,0.225984,0.732,0.0,671,23.7231,90.4086,6.0,0.076598
solar,BGDXX,2016,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening peak (17-20),0.000945,0.002963,0.015,0.0,183,23.7231,90.4086,6.0,0.02089
solar,BGDXX,2016,S4D4,S4,D4,Post-monsoon (Oct-Nov),Late evening (20-22),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2016,S4D5,S4,D5,Post-monsoon (Oct-Nov),Late night (22-24),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2017,S1D1,S1,D1,Winter (Dec-Feb),Night (00-06),0.0,0.0,0.0,0.0,540,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2017,S1D2,S1,D2,Winter (Dec-Feb),Solar day (06-17),0.405109,0.232217,0.767,0.0,990,23.7231,90.4086,6.0,0.113014
solar,BGDXX,2017,S1D3,S1,D3,Winter (Dec-Feb),Evening peak (17-20),0.000415,0.002334,0.018,0.0,270,23.7231,90.4086,6.0,0.030822
solar,BGDXX,2017,S1D4,S1,D4,Winter (Dec-Feb),Late evening (20-22),0.0,0.0,0.0,0.0,180,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2017,S1D5,S1,D5,Winter (Dec-Feb),Late night (22-24),0.0,0.0,0.0,0.0,180,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2017,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-06),2e-06,4.3e-05,0.001,0.0,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2017,S2D2,S2,D2,Pre-monsoon (Mar-May),Solar day (06-17),0.402408,0.202245,0.779,0.003,1012,23.7231,90.4086,6.0,0.115525
solar,BGDXX,2017,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening peak (17-20),0.014243,0.02315,0.087,0.0,276,23.7231,90.4086,6.0,0.031507
solar,BGDXX,2017,S2D4,S2,D4,Pre-monsoon (Mar-May),Late evening (20-22),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2017,S2D5,S2,D5,Pre-monsoon (Mar-May),Late night (22-24),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2017,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-06),2.2e-05,0.000201,0.003,0.0,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2017,S3D2,S3,D2,SW Monsoon (Jun-Sep),Solar day (06-17),0.28533,0.161598,0.676,0.001,1342,23.7231,90.4086,6.0,0.153196
solar,BGDXX,2017,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening peak (17-20),0.012511,0.02171,0.105,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2017,S3D4,S3,D4,SW Monsoon (Jun-Sep),Late evening (20-22),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2017,S3D5,S3,D5,SW Monsoon (Jun-Sep),Late night (22-24),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2017,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-06),0.0,0.0,0.0,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2017,S4D2,S4,D2,Post-monsoon (Oct-Nov),Solar day (06-17),0.354298,0.225998,0.728,0.0,671,23.7231,90.4086,6.0,0.076598
