REGION,TECHNOLOGY,VALUE
GLOBAL,PWRWOFINDEA,30.0
GLOBAL,PWRWOFINDNE,30.0
GLOBAL,PWRWOFINDNO,30.0
GLOBAL,PWRWOFINDSO,30.0
GLOBAL,PWRWOFINDWE,30.0
GLOBAL,PWRWOFLKAXX,30.0
GLOBAL,PWRWONBGDXX,30.0
GLOBAL,PWRWONBTNXX,30.0
GLOBAL,PWRWONINDEA,30.0
GLOBAL,PWRWONINDNE,30.0
GLOBAL,PWRWONINDNO,30.0
GLOBAL,PWRWONINDSO,30.0
GLOBAL,PWRWONINDWE,30.0
GLOBAL,PWRWONLKAXX,30.0
GLOBAL,PWRWONNPLXX,30.0
GLOBAL,RNWNLIBGDXX,20.0
GLOBAL,RNWNLIBTNXX,20.0
GLOBAL,RNWNLIINDEA,20.0
GLOBAL,RNWNLIINDNE,20.0
GLOBAL,RNWNLIINDNO,20.0
GLOBAL,RNWNLIINDSO,20.0
GLOBAL,RNWNLIINDWE,20.0
GLOBAL,RNWNLILKAXX,20.0
GLOBAL,RNWNLIMDVXX,20.0
GLOBAL,RNWNLINPLXX,20.0
GLOBAL,RNWRPOBGDXX,20.0
GLOBAL,RNWRPOBTNXX,20.0
GLOBAL,RNWRPOINDEA,20.0
GLOBAL,RNWRPOINDNE,20.0
GLOBAL,RNWRPOINDNO,20.0
GLOBAL,RNWRPOINDSO,20.0
GLOBAL,RNWRPOINDWE,20.0
GLOBAL,RNWRPOLKAXX,20.0
GLOBAL,RNWRPOMDVXX,20.0
GLOBAL,RNWRPONPLXX,20.0
GLOBAL,RNWTRNBGDXX,20.0
GLOBAL,RNWTRNBTNXX,20.0
GLOBAL,RNWTRNINDEA,20.0
GLOBAL,RNWTRNINDNE,20.0
GLOBAL,RNWTRNINDNO,20.0
GLOBAL,RNWTRNINDSO,20.0
GLOBAL,RNWTRNINDWE,20.0
GLOBAL,RNWTRNLKAXX,20.0
GLOBAL,RNWTRNMDVXX,20.0
GLOBAL,RNWTRNNPLXX,20.0
