REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S2D1,DSPTRNBGDXX,1,2025,298.25478971424
GLOBAL,S2D2,DSPTRNBGDXX,1,2025,345.56915244384
GLOBAL,S2D3,DSPTRNBGDXX,1,2025,418.8547936750844
GLOBAL,S2D4,DSPTRNBGDXX,1,2025,475.31923854048006
GLOBAL,S2D5,DSPTRNBGDXX,1,2025,421.0766930767567
GLOBAL,S3D1,DSPTRNBGDXX,1,2025,303.20699627808
GLOBAL,S3D2,DSPTRNBGDXX,1,2025,276.5223437982892
GLOBAL,S3D3,DSPTRNBGDXX,1,2025,305.08886008944
GLOBAL,S3D4,DSPTRNBGDXX,1,2025,306.61221537938496
GLOBAL,S3D5,DSPTRNBGDXX,1,2025,303.31693266623995
GLOBAL,S4D1,DSPTRNBGDXX,1,2025,193.6090735420055
GLOBAL,S4D2,DSPTRNBGDXX,1,2025,346.39627234464007
GLOBAL,S4D3,DSPTRNBGDXX,1,2025,302.37612233184
GLOBAL,S4D4,DSPTRNBGDXX,1,2025,302.41174035168
GLOBAL,S4D5,DSPTRNBGDXX,1,2025,180.6993196107926
GLOBAL,S1D1,DSPTRNBGDXX,2,2025,262.11931776867084
GLOBAL,S1D2,DSPTRNBGDXX,2,2025,259.844870521135
GLOBAL,S1D3,DSPTRNBGDXX,2,2025,214.20539480053617
GLOBAL,S1D4,DSPTRNBGDXX,2,2025,219.76326435520383
GLOBAL,S1D5,DSPTRNBGDXX,2,2025,123.26781482335002
GLOBAL,S2D1,DSPTRNBGDXX,2,2025,202.43105381259537
GLOBAL,S2D2,DSPTRNBGDXX,2,2025,129.28631597425135
GLOBAL,S2D3,DSPTRNBGDXX,2,2025,93.15122644742814
GLOBAL,S2D4,DSPTRNBGDXX,2,2025,70.49946700581846
GLOBAL,S2D5,DSPTRNBGDXX,2,2025,58.42260409058446
GLOBAL,S3D1,DSPTRNBGDXX,2,2025,244.95025194479643
GLOBAL,S3D2,DSPTRNBGDXX,2,2025,217.3879010971389
GLOBAL,S3D3,DSPTRNBGDXX,2,2025,214.12348365532432
GLOBAL,S3D4,DSPTRNBGDXX,2,2025,268.46659287077654
GLOBAL,S3D5,DSPTRNBGDXX,2,2025,216.44935264287187
GLOBAL,S4D1,DSPTRNBGDXX,2,2025,262.32565066277664
GLOBAL,S4D2,DSPTRNBGDXX,2,2025,95.37527394899688
GLOBAL,S4D3,DSPTRNBGDXX,2,2025,196.71967977443097
GLOBAL,S4D4,DSPTRNBGDXX,2,2025,203.44769621039364
GLOBAL,S4D5,DSPTRNBGDXX,2,2025,262.3256506627767
GLOBAL,S1D1,DSPTRNBGDXX,1,2026,178.1198483802446
GLOBAL,S1D2,DSPTRNBGDXX,1,2026,298.96889122995583
