REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,1,2023,6.153508969218522
GLOBAL,S1D1,DSPTRNBGDXX,2,2023,16.206646654781473
GLOBAL,S1D1,DSPTRNBTNXX,1,2023,0.927195216513984
GLOBAL,S1D1,DSPTRNINDEA,1,2023,51.25700474637911
GLOBAL,S1D1,DSPTRNINDNE,1,2023,2.3270009158792324
GLOBAL,S1D1,DSPTRNINDNE,2,2023,1.0465088721207674
GLOBAL,S1D1,DSPTRNINDNO,1,2023,80.11106724
GLOBAL,S1D1,DSPTRNINDSO,1,2023,77.57412709436191
GLOBAL,S1D1,DSPTRNINDWE,1,2023,102.83566395999999
GLOBAL,S1D1,DSPTRNLKAXX,1,2023,2.9570307565943144
GLOBAL,S1D1,DSPTRNLKAXX,2,2023,0.19633140658088374
GLOBAL,S1D1,DSPTRNMDVXX,2,2023,0.32393096
GLOBAL,S1D1,DSPTRNNPLXX,1,2023,2.047037458752
GLOBAL,S1D1,MINCOAINT,1,2023,703.4157835325469
GLOBAL,S1D1,MINURNINT,1,2023,32.2813724834304
GLOBAL,S1D1,PWRBIOINDNO,1,2023,6.0569369517888
GLOBAL,S1D1,PWRBIOINDSO,1,2023,6.9150208400064
GLOBAL,S1D1,PWRBIOINDWE,1,2023,5.9167741780224
GLOBAL,S1D1,PWRCOABGDXX,2,2023,6.061536139958294
GLOBAL,S1D1,PWRCOAINDEA,2,2023,49.428792423239216
GLOBAL,S1D1,PWRCOAINDNE,2,2023,1.458003888
GLOBAL,S1D1,PWRCOAINDNO,2,2023,57.72253161771735
GLOBAL,S1D1,PWRCOAINDSO,2,2023,46.17820632076956
GLOBAL,S1D1,PWRCOAINDWE,2,2023,77.54595213542831
GLOBAL,S1D1,PWRCOALKAXX,2,2023,1.57464419904
GLOBAL,S1D1,PWRCSPINDNO,1,2023,0.5349757437981791
GLOBAL,S1D1,PWRCSPINDSO,1,2023,0.16424899799616
GLOBAL,S1D1,PWRHYDBGDXX,1,2023,0.09197282926022399
GLOBAL,S1D1,PWRHYDBTNXX,1,2023,0.927195216513984
GLOBAL,S1D1,PWRHYDINDEA,1,2023,1.7286444017061118
GLOBAL,S1D1,PWRHYDINDNE,1,2023,0.7569697633806528
GLOBAL,S1D1,PWRHYDINDNO,1,2023,8.383978808417202
GLOBAL,S1D1,PWRHYDINDSO,1,2023,5.5035311640439675
GLOBAL,S1D1,PWRHYDINDWE,1,2023,3.2576985687730176
GLOBAL,S1D1,PWRHYDLKAXX,1,2023,1.197525661393248
GLOBAL,S1D1,PWRHYDNPLXX,1,2023,2.047037458752
GLOBAL,S1D1,PWRSHPINDEA,1,2023,0.0993652977734208
GLOBAL,S1D1,PWRSHPINDNE,1,2023,0.11180895271641215
GLOBAL,S1D1,PWRSHPINDNO,1,2023,0.72946047650275
GLOBAL,S1D1,PWRSHPINDSO,1,2023,0.9057611985567552
GLOBAL,S1D1,PWRSHPINDWE,1,2023,0.29699175669590594
GLOBAL,S1D1,PWRSPVINDEA,1,2023,0.00020262366032832
GLOBAL,S1D1,PWRSPVINDNE,1,2023,0.0002183117821632
GLOBAL,S1D1,PWRTRNINDEA,1,2023,2.871070245378543
GLOBAL,S1D1,PWRTRNINDNE,1,2023,1.458003887999999
GLOBAL,S1D1,PWRTRNINDNO,1,2023,29.27898184688481
GLOBAL,S1D1,PWRTRNINDSO,1,2023,21.955145470921533
GLOBAL,S1D1,PWRTRNINDWE,1,2023,23.043907128005728
GLOBAL,S1D1,PWRURNINDNO,2,2023,3.14928839808002
GLOBAL,S1D1,PWRURNINDSO,2,2023,6.4540972108800005
GLOBAL,S1D1,PWRURNINDWE,2,2023,4.937773167359999
GLOBAL,S1D1,PWRWONINDNO,1,2023,3.5338952436955196
GLOBAL,S1D1,PWRWONINDSO,1,2023,11.453261362108854
GLOBAL,S1D1,PWRWONINDWE,1,2023,10.880474153720371
GLOBAL,S1D1,PWRWONLKAXX,1,2023,0.18486089616107518
GLOBAL,S1D1,RNWBIOINDNO,1,2023,20.29073878849248
GLOBAL,S1D1,RNWBIOINDSO,1,2023,25.516426899623564
GLOBAL,S1D1,RNWBIOINDWE,1,2023,22.187903167584
GLOBAL,S1D1,RNWCSPINDNO,1,2023,0.5349757437981791
GLOBAL,S1D1,RNWCSPINDSO,1,2023,0.16424899799616
GLOBAL,S1D1,RNWHYDBGDXX,1,2023,0.09197282926022399
GLOBAL,S1D1,RNWHYDBTNXX,1,2023,0.927195216513984
GLOBAL,S1D1,RNWHYDINDEA,1,2023,1.8280096994795327
GLOBAL,S1D1,RNWHYDINDNE,1,2023,0.8687787160970649
GLOBAL,S1D1,RNWHYDINDNO,1,2023,9.113439284919952
GLOBAL,S1D1,RNWHYDINDSO,1,2023,6.4092923626007225
GLOBAL,S1D1,RNWHYDINDWE,1,2023,3.5546903254689237
GLOBAL,S1D1,RNWHYDLKAXX,1,2023,1.197525661393248
GLOBAL,S1D1,RNWHYDNPLXX,1,2023,2.047037458752
GLOBAL,S1D1,RNWNLIINDEA,1,2023,1.828212323139861
GLOBAL,S1D1,RNWNLIINDWE,1,2023,9.72002592
GLOBAL,S1D1,RNWNLILKAXX,1,2023,1.3823865575543133
GLOBAL,S1D1,RNWRPOINDNE,1,2023,0.8689970278792274
GLOBAL,S1D1,RNWRPOINDSO,1,2023,9.72002592
GLOBAL,S1D1,RNWRPONPLXX,1,2023,2.047037458752
GLOBAL,S1D1,RNWSPVINDEA,1,2023,0.00020262366032832
GLOBAL,S1D1,RNWSPVINDNE,1,2023,0.0002183117821632
GLOBAL,S1D1,RNWTRNBGDXX,1,2023,0.09197282926022395
GLOBAL,S1D1,RNWTRNBTNXX,1,2023,0.927195216513984
GLOBAL,S1D1,RNWTRNINDNO,1,2023,19.23924722420245
GLOBAL,S1D1,RNWTRNINDSO,1,2023,15.221797642712136
GLOBAL,S1D1,RNWTRNINDWE,1,2023,10.631912737211696
GLOBAL,S1D1,RNWWONINDNO,1,2023,3.5338952436955196
GLOBAL,S1D1,RNWWONINDSO,1,2023,11.453261362108854
GLOBAL,S1D1,RNWWONINDWE,1,2023,10.880474153720371
GLOBAL,S1D1,RNWWONLKAXX,1,2023,0.18486089616107518
GLOBAL,S1D1,TRNBGDXXINDEA,2,2023,16.474500661057945
GLOBAL,S1D1,TRNBTNXXINDNE,1,2023,0.18595320051398406
GLOBAL,S1D1,TRNINDEAINDNE,1,2023,0.8983860733211653
GLOBAL,S1D1,TRNINDSOLKAXX,1,2023,0.20407609436191862
GLOBAL,S1D1,TRNLKAXXMDVXX,1,2023,0.33670906917519877
GLOBAL,S1D1,TRNNLIINDEA,1,2023,34.44148129142722
GLOBAL,S1D1,TRNNLIINDNO,1,2023,9.72002592
GLOBAL,S1D1,TRNNLIINDSO,1,2023,30.67715806072803
GLOBAL,S1D1,TRNNLIINDWE,1,2023,9.72002592
GLOBAL,S1D1,TRNNPLXXBGDXX,1,2023,0.014242594751999958
GLOBAL,S1D1,TRNRPOBGDXX,1,2023,6.061536139958294
GLOBAL,S1D1,TRNRPOINDEA,1,2023,12.116240886433447
GLOBAL,S1D1,TRNRPOINDNO,1,2023,21.87281224891274
GLOBAL,S1D1,TRNRPOINDWE,1,2023,49.71979225478257
GLOBAL,S1D1,TRNRPOLKAXX,1,2023,1.57464419904
GLOBAL,S1D1,DSPTRNBGDXX,1,2024,7.6833945882329235
GLOBAL,S1D1,DSPTRNBGDXX,2,2024,16.193116189767075
GLOBAL,S1D1,DSPTRNBTNXX,1,2024,0.9938100144729716
GLOBAL,S1D1,DSPTRNINDEA,1,2024,53.50631451262567
GLOBAL,S1D1,DSPTRNINDNE,1,2024,2.3730910820660105
GLOBAL,S1D1,DSPTRNINDNE,2,2024,1.19009359793399
GLOBAL,S1D1,DSPTRNINDNO,1,2024,84.78955428
GLOBAL,S1D1,DSPTRNINDSO,1,2024,82.51376552117657
GLOBAL,S1D1,DSPTRNINDWE,1,2024,108.9169334
GLOBAL,S1D1,DSPTRNLKAXX,1,2024,2.764374132093338
GLOBAL,S1D1,DSPTRNLKAXX,2,2024,0.6268711942814335
