REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
GLOBAL,PWRLDSBGDXX,LDSBGDXX01,1,0.0
GLOBAL,PWRLDSBGDXX,LDSBGDXX01,2,1.0
GLOBAL,PWRLDSINDEA,LDSINDEA01,1,0.0
GLOBAL,PWRLDSINDEA,LDSINDEA01,2,1.0
GLOBAL,PWRSDSBGDXX,SDSBGDXX01,1,0.0
GLOBAL,PWRSDSBGDXX,SDSBGDXX01,2,1.0
GLOBAL,PWRSDSINDEA,SDSINDEA01,1,0.0
GLOBAL,PWRSDSINDEA,SDSINDEA01,2,1.0
