metric,A_Calibrated_BAU,A_Calibrated_BAU_Clipped,B_Optimised_VRE,B_Opt_Clipped,C_Target_VRE,C_Target_VRE_Clipped,B_Opt_TradeCap15,B_Opt_SolarCapexHi,B_Opt_TxCap150,B_Opt_IndiaCosts,B_Opt_IndiaCostsFuel,B_Opt_DirBidir,B_Opt_DirContractual
System cost (NPV) [M USD],2224446.4856065614,2224447.817253372,2113984.4572231034,2115081.728004546,2158340.3782008816,2149161.7737068515,2126284.128240702,2122387.791353464,2141786.4862426273,2076619.9425043864,2076619.9425043864,2115081.728004546,2120330.760992046
Capital (NPV) [M USD],578747.8674796375,578746.9584413215,6893228.093673129,653246.5018106467,692974.2882830339,682501.4964406585,649090.836473905,662075.8239244315,658128.8945157025,629634.028562641,629634.028562641,653246.5018106467,662337.9491938787
Fuel+VarOpex [M USD],5689651.78779509,5689662.048793616,4470860.135928932,4482693.511653832,4770311.545904547,4774355.828043799,4548151.1827789005,4483203.133535414,4614625.626671813,4447120.239881249,4447120.239881249,4482693.511653832,4469495.971987043
Coal 2050 [GW],506.59085726672083,506.590857363209,298.78733550734717,298.9238763073516,378.36686528864266,373.8274307282524,298.38091573510445,298.92387630735146,312.7218089045451,299.37069999999994,299.37069999999994,298.9238763073516,303.57194428108164
Solar 2050 [GW],282.8476,282.8476,886.6050000000001,878.389,813.1073907817358,812.669066704186,878.3890000000001,878.3890000000001,870.1351071954356,878.3890000000001,878.3890000000001,878.389,870.1351071954355
Wind 2050 [GW],142.29340000000002,142.29140000000004,506.5439250572709,497.91370000000006,195.87909379806834,230.0340482179673,497.7137000000001,497.91370000000006,497.5137000000001,497.8137000000001,497.8137000000001,497.91370000000006,498.0137000000001
Storage 2050 [GW],94.61966334241683,94.61988431973415,68.74999999999997,68.74999999999997,83.33497905777469,75.35403259603768,68.74999999999999,68.74999999999999,68.74999999999997,68.74999999999997,68.74999999999997,68.74999999999997,68.74999999999999
CO2 2050 [Mt],3754.5308796114505,3754.530879758012,1769.840246785027,1784.016237228852,2582.2394857224517,2582.444110579434,1620.4545797985284,1784.0162372182765,1666.6835639630438,1734.85854678841,1734.85854678841,1784.016237228852,1773.219315280921
BGD domestic gen 2050 [TWh],205.38150045987214,205.38150039138068,193.48850837594821,182.62872770411352,255.32274542302315,266.5675930400721,421.1493805433611,182.62872770352055,459.0778537023416,249.17265874175288,249.17265874175288,182.62872770411352,155.90595859810662
BGD net imports 2050 [TWh],280.31849954012785,280.3184996086193,292.21149162405175,303.0712722958865,230.37725457697684,219.1324069599279,64.55061945663891,303.07127229647944,26.62214629765839,236.5273412582471,236.5273412582471,303.0712722958865,329.79404140189337
BGD domestic share 2050 [%],42.285670261451955,42.28567024735036,39.83704104919667,37.6011380902025,52.5679937045549,54.88317748405849,86.7097756935065,37.60113809008041,94.51880866838411,51.301762145718115,51.301762145718115,37.6011380902025,32.09922968871868
BGD solar 2050 [GW],2.4283,2.4283,10.4975,10.4975,27.877353279916424,27.877353279916417,10.4975,10.4975,10.4975,10.4975,10.4975,10.4975,10.4975
Cross-border trade 2050 [TWh],331.3948385083043,331.39483853927703,441.47509422948616,438.2934762944625,320.6874357584099,302.15585696643075,242.94826941646446,438.2934762950554,97.14506094725508,392.4199537220017,392.4199537220017,438.2934762944625,423.5492967232543
Backstop generation [TWh],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
