resource,region,model_year,timeslice,season,daypart,season_name,daypart_name,cf_mean,cf_std,cf_max,cf_min,n_hours,param_lat,param_lon,utc_offset,yearsplit
solar,BGDXX,2014,S1D1,S1,D1,Winter (Dec-Feb),Night (00-06),0.0,0.0,0.0,0.0,348,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2014,S1D2,S1,D2,Winter (Dec-Feb),Morning (06-12),0.391562,0.253868,0.77,0.0,354,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2014,S1D3,S1,D3,Winter (Dec-Feb),Afternoon (12-18),0.362105,0.248716,0.755,0.0,354,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2014,S1D4,S1,D4,Winter (Dec-Feb),Evening (18-24),0.0,0.0,0.0,0.0,354,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2014,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-06),2e-06,4.3e-05,0.001,0.0,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2014,S2D2,S2,D2,Pre-monsoon (Mar-May),Morning (06-12),0.395475,0.218686,0.767,0.003,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2014,S2D3,S2,D3,Pre-monsoon (Mar-May),Afternoon (12-18),0.384935,0.22166,0.758,0.004,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2014,S2D4,S2,D4,Pre-monsoon (Mar-May),Evening (18-24),0.0,0.0,0.0,0.0,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2014,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-06),4e-05,0.000326,0.005,0.0,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2014,S3D2,S3,D2,SW Monsoon (Jun-Sep),Morning (06-12),0.301467,0.183237,0.715,0.001,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2014,S3D3,S3,D3,SW Monsoon (Jun-Sep),Afternoon (12-18),0.288697,0.178695,0.698,0.0,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2014,S3D4,S3,D4,SW Monsoon (Jun-Sep),Evening (18-24),1.1e-05,0.000116,0.002,0.0,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2014,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-06),0.0,0.0,0.0,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2014,S4D2,S4,D2,Post-monsoon (Oct-Nov),Morning (06-12),0.361847,0.24048,0.729,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2014,S4D3,S4,D3,Post-monsoon (Oct-Nov),Afternoon (12-18),0.344899,0.2359,0.728,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2014,S4D4,S4,D4,Post-monsoon (Oct-Nov),Evening (18-24),0.0,0.0,0.0,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2015,S1D1,S1,D1,Winter (Dec-Feb),Night (00-06),0.0,0.0,0.0,0.0,540,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2015,S1D2,S1,D2,Winter (Dec-Feb),Morning (06-12),0.360617,0.245026,0.73,0.0,540,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2015,S1D3,S1,D3,Winter (Dec-Feb),Afternoon (12-18),0.334365,0.237355,0.737,0.0,540,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2015,S1D4,S1,D4,Winter (Dec-Feb),Evening (18-24),0.0,0.0,0.0,0.0,540,23.7231,90.4086,6.0,0.061644
solar,BGDXX,2015,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-06),2e-06,4.3e-05,0.001,0.0,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2015,S2D2,S2,D2,Pre-monsoon (Mar-May),Morning (06-12),0.372056,0.217454,0.782,0.009,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2015,S2D3,S2,D3,Pre-monsoon (Mar-May),Afternoon (12-18),0.35427,0.213594,0.773,0.007,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2015,S2D4,S2,D4,Pre-monsoon (Mar-May),Evening (18-24),0.0,0.0,0.0,0.0,552,23.7231,90.4086,6.0,0.063014
solar,BGDXX,2015,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-06),5.9e-05,0.000432,0.005,0.0,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2015,S3D2,S3,D2,SW Monsoon (Jun-Sep),Morning (06-12),0.285777,0.179336,0.712,0.0,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2015,S3D3,S3,D3,SW Monsoon (Jun-Sep),Afternoon (12-18),0.271351,0.178454,0.697,0.002,732,23.7231,90.4086,6.0,0.083562
solar,BGDXX,2015,S3D4,S3,D4,SW Monsoon (Jun-Sep),Evening (18-24),8e-06,0.000104,0.002,0.0,732,23.7231,90.4086,6.0,0.083562
