resource,region,model_year,timeslice,season,daypart,season_name,daypart_name,cf_mean,cf_std,cf_max,cf_min,n_hours,param_lat,param_lon,utc_offset,yearsplit
solar,BGDXX,2014,S1D1,S1,D1,Winter (Dec-Feb),Night (00-06),0,0,0,0,348,23.7231,90.4086,6,0.061644
solar,BGDXX,2014,S1D2,S1,D2,Winter (Dec-Feb),Day (06-18),0.376833,0.25156,0.77,0,708,23.7231,90.4086,6,0.123288
solar,BGDXX,2014,S1D3,S1,D3,Winter (Dec-Feb),Evening (18-24),0,0,0,0,354,23.7231,90.4086,6,0.061644
solar,BGDXX,2014,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-06),2e-06,4.3e-05,0.001,0,552,23.7231,90.4086,6,0.063014
solar,BGDXX,2014,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (06-18),0.390205,0.220142,0.767,0.003,1104,23.7231,90.4086,6,0.126027
solar,BGDXX,2014,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (18-24),0,0,0,0,552,23.7231,90.4086,6,0.063014
solar,BGDXX,2014,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-06),4e-05,0.000326,0.005,0,732,23.7231,90.4086,6,0.083562
solar,BGDXX,2014,S3D2,S3,D2,SW Monsoon (Jun-Sep),Day (06-18),0.295082,0.181031,0.715,0,1464,23.7231,90.4086,6,0.167123
solar,BGDXX,2014,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening (18-24),1.1e-05,0.000116,0.002,0,732,23.7231,90.4086,6,0.083562
solar,BGDXX,2014,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-06),0,0,0,0,366,23.7231,90.4086,6,0.041781
solar,BGDXX,2014,S4D2,S4,D2,Post-monsoon (Oct-Nov),Day (06-18),0.353373,0.238189,0.729,0,732,23.7231,90.4086,6,0.083562
solar,BGDXX,2014,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening (18-24),0,0,0,0,366,23.7231,90.4086,6,0.041781
solar,BGDXX,2015,S1D1,S1,D1,Winter (Dec-Feb),Night (00-06),0,0,0,0,540,23.7231,90.4086,6,0.061644
solar,BGDXX,2015,S1D2,S1,D2,Winter (Dec-Feb),Day (06-18),0.347491,0.241467,0.737,0,1080,23.7231,90.4086,6,0.123288
solar,BGDXX,2015,S1D3,S1,D3,Winter (Dec-Feb),Evening (18-24),0,0,0,0,540,23.7231,90.4086,6,0.061644
solar,BGDXX,2015,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-06),2e-06,4.3e-05,0.001,0,552,23.7231,90.4086,6,0.063014
solar,BGDXX,2015,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (06-18),0.363163,0.215619,0.782,0.007,1104,23.7231,90.4086,6,0.126027
solar,BGDXX,2015,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (18-24),0,0,0,0,552,23.7231,90.4086,6,0.063014
