REGION,TECHNOLOGY,VALUE
GLOBAL,PWRURNMDVXX01,60
GLOBAL,PWRWOFMDVXX01,30
GLOBAL,PWROCGMDVXX00,30
GLOBAL,PWROTHMDVXX01,30
GLOBAL,PWRSPVMDVXX01,30
GLOBAL,PWRCCGMDVXX01,30
GLOBAL,PWRPETMDVXX01,30
GLOBAL,PWRBIOMDVXX01,30
GLOBAL,PWROCGMDVXX01,30
GLOBAL,PWRWONMDVXX01,30
GLOBAL,PWRHYDMDVXX01,100
GLOBAL,PWROILMDVXX01,30
GLOBAL,PWRCCSMDVXX01,30
GLOBAL,PWRWASMDVXX01,30
GLOBAL,PWRGEOMDVXX01,30
GLOBAL,PWRCOAMDVXX01,30
GLOBAL,PWRWAVMDVXX01,20
GLOBAL,PWRCCGMDVXX00,30
GLOBAL,PWRCOGMDVXX01,30
GLOBAL,PWRCSPMDVXX01,30
GLOBAL,PWRSDSMDVXX01,30
GLOBAL,PWRLDSMDVXX01,60
GLOBAL,TRNLKAXXMDVXX,60
