country,tech_code,tech_type,available,recommended,notes
INDNE,PWRWONINDNE,Wind,cf_ninja,cf_ninja,Ninja
INDNE,PWRCOAINDNE,COA,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
INDNE,PWRGASINDNE,GAS,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
INDNE,PWROILINDNE,OIL,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
INDNE,PWRNGAINDNE,NGA,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
INDSO,PWRHYDINDSO,Hydro_HYD,cf_da_workbook,cf_da_workbook,CEA fleet PLF
INDSO,PWRHDRINDSO,Hydro_HDR,cf_da_workbook,cf_da_workbook,CEA fleet PLF
INDSO,PWRHROINDSO,Hydro_HRO,cf_da_workbook,cf_da_workbook,CEA fleet PLF
INDSO,PWRSPVINDSO,Solar,cf_ninja,cf_ninja,Ninja
INDSO,PWRWONINDSO,Wind,cf_ninja,cf_ninja,Ninja
INDSO,PWRCOAINDSO,COA,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
INDSO,PWRGASINDSO,GAS,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
INDSO,PWROILINDSO,OIL,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
INDSO,PWRNGAINDSO,NGA,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
INDWE,PWRHYDINDWE,Hydro_HYD,cf_da_workbook,cf_da_workbook,CEA fleet PLF
INDWE,PWRHDRINDWE,Hydro_HDR,cf_da_workbook,cf_da_workbook,CEA fleet PLF
INDWE,PWRHROINDWE,Hydro_HRO,cf_da_workbook,cf_da_workbook,CEA fleet PLF
INDWE,PWRSPVINDWE,Solar,cf_ninja,cf_ninja,Ninja
INDWE,PWRWONINDWE,Wind,cf_ninja,cf_ninja,Ninja
INDWE,PWRCOAINDWE,COA,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
INDWE,PWRGASINDWE,GAS,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
INDWE,PWROILINDWE,OIL,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
INDWE,PWRNGAINDWE,NGA,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
NPL,PWRHYDNPLXX,Hydro,cf_da_workbook,cf_da_workbook,"NDOR FY2080 fleet avg, flat within season"
NPL,PWRSPVNPLXX,Solar,cf_ninja,cf_ninja,Ninja
NPL,PWRWONNPLXX,Wind,cf_ninja,cf_ninja,Ninja
NPL,PWRGASNPLXX,Gas,cf_default,cf_default,thermal CF=1.0; CF=1.0 (dispatchable)
BTN,PWRHYDBTNXX,Hydro,cf_da_workbook,cf_da_workbook,"BPSO 2024 ex-bus gen, seasonal avg, capped at 1.0"
BTN,PWRSPVBTNXX,Solar,cf_ninja,cf_ninja,Ninja
BTN,PWRWONBTNXX,Wind,cf_ninja,cf_ninja,Ninja
MDV,PWRDSLMDVXX,Diesel,cf_default,cf_default,thermal default CF=1.0; CF=1.0 (dispatchable)
MDV,PWRSPVMDVXX,Solar,cf_ninja; cf_da_workbook,cf_ninja,GHI-scaled seasonal + Ninja
MDV,PWRWONMDVXX,Wind,cf_ninja,cf_ninja,Ninja (1.5 MW installed)
