timeslice,season,daypart,tech_code,tech_type,cf_dispatch,cf_ninja,cf_da_workbook,cf_default,source_notes
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRHYDBGDXX,Hydro,0.121191,,,,dispatch: 1132 PGCB files (compiled CSV)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRSPVBGDXX,Solar,0.000744,0.000005,,,dispatch: 1132 PGCB files (compiled CSV)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRWONBGDXX,Wind,0.304322,0.312156,,,dispatch: 1132 PGCB files (compiled CSV)
S2D1,Pre-monsoon (Mar-May),Night (00-06),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRHYDBGDXX,Hydro,0.130395,,,,dispatch: 1132 PGCB files (compiled CSV)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRSPVBGDXX,Solar,0.445120,0.388651,,,dispatch: 1132 PGCB files (compiled CSV)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRWONBGDXX,Wind,0.273591,0.189237,,,dispatch: 1132 PGCB files (compiled CSV)
S2D2,Pre-monsoon (Mar-May),Morning (06-12),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRHYDBGDXX,Hydro,0.149821,,,,dispatch: 1132 PGCB files (compiled CSV)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRSPVBGDXX,Solar,0.540800,0.370842,,,dispatch: 1132 PGCB files (compiled CSV)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRWONBGDXX,Wind,0.440748,0.187838,,,dispatch: 1132 PGCB files (compiled CSV)
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D4,Pre-monsoon (Mar-May),Evening (18-24),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D4,Pre-monsoon (Mar-May),Evening (18-24),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D4,Pre-monsoon (Mar-May),Evening (18-24),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D4,Pre-monsoon (Mar-May),Evening (18-24),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S2D4,Pre-monsoon (Mar-May),Evening (18-24),PWRHYDBGDXX,Hydro,0.145099,,,,dispatch: 1132 PGCB files (compiled CSV)
S2D4,Pre-monsoon (Mar-May),Evening (18-24),PWRSPVBGDXX,Solar,0.002480,0.000000,,,dispatch: 1132 PGCB files (compiled CSV)
S2D4,Pre-monsoon (Mar-May),Evening (18-24),PWRWONBGDXX,Wind,0.287415,0.404507,,,dispatch: 1132 PGCB files (compiled CSV)
S2D4,Pre-monsoon (Mar-May),Evening (18-24),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D1,SW Monsoon (Jun-Sep),Night (00-06),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D1,SW Monsoon (Jun-Sep),Night (00-06),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D1,SW Monsoon (Jun-Sep),Night (00-06),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D1,SW Monsoon (Jun-Sep),Night (00-06),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D1,SW Monsoon (Jun-Sep),Night (00-06),PWRHYDBGDXX,Hydro,0.708052,,,,dispatch: 1132 PGCB files (compiled CSV)
S3D1,SW Monsoon (Jun-Sep),Night (00-06),PWRSPVBGDXX,Solar,0.001223,0.000052,,,dispatch: 1132 PGCB files (compiled CSV)
S3D1,SW Monsoon (Jun-Sep),Night (00-06),PWRWONBGDXX,Wind,0.332127,0.346136,,,dispatch: 1132 PGCB files (compiled CSV)
S3D1,SW Monsoon (Jun-Sep),Night (00-06),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D2,SW Monsoon (Jun-Sep),Morning (06-12),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D2,SW Monsoon (Jun-Sep),Morning (06-12),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D2,SW Monsoon (Jun-Sep),Morning (06-12),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D2,SW Monsoon (Jun-Sep),Morning (06-12),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D2,SW Monsoon (Jun-Sep),Morning (06-12),PWRHYDBGDXX,Hydro,0.697935,,,,dispatch: 1132 PGCB files (compiled CSV)
S3D2,SW Monsoon (Jun-Sep),Morning (06-12),PWRSPVBGDXX,Solar,0.387366,0.294079,,,dispatch: 1132 PGCB files (compiled CSV)
S3D2,SW Monsoon (Jun-Sep),Morning (06-12),PWRWONBGDXX,Wind,0.333059,0.297635,,,dispatch: 1132 PGCB files (compiled CSV)
S3D2,SW Monsoon (Jun-Sep),Morning (06-12),PWRIMPBGDXX,Import,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D3,SW Monsoon (Jun-Sep),Afternoon (12-18),PWRGASBGDXX,Gas,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D3,SW Monsoon (Jun-Sep),Afternoon (12-18),PWRCOABGDXX,Coal,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D3,SW Monsoon (Jun-Sep),Afternoon (12-18),PWRHFOBGDXX,Oil_HFO,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D3,SW Monsoon (Jun-Sep),Afternoon (12-18),PWRHSDBGDXX,Oil_HSD,,,,1.0,dispatch: 1132 PGCB files (compiled CSV); CF=1.0 (dispatchable)
S3D3,SW Monsoon (Jun-Sep),Afternoon (12-18),PWRHYDBGDXX,Hydro,0.712606,,,,dispatch: 1132 PGCB files (compiled CSV)
