resource,region,model_year,timeslice,season,daypart,season_name,daypart_name,cf_mean,cf_std,cf_max,cf_min,n_hours,param_lat,param_lon,utc_offset,yearsplit
solar,BGDXX,2014,S1D1,S1,D1,Winter (Dec-Feb),Night (00-05),0.0,0.0,0.0,0.0,290,23.7231,90.4086,6.0,0.05137
solar,BGDXX,2014,S1D2,S1,D2,Winter (Dec-Feb),Morning ramp (05-08),0.053665,0.078395,0.248,0.0,176,23.7231,90.4086,6.0,0.030822
solar,BGDXX,2014,S1D3,S1,D3,Winter (Dec-Feb),Solar day (08-17),0.484471,0.189655,0.77,0.063,531,23.7231,90.4086,6.0,0.092466
solar,BGDXX,2014,S1D4,S1,D4,Winter (Dec-Feb),Evening peak (17-20),0.000559,0.002086,0.013,0.0,177,23.7231,90.4086,6.0,0.030822
solar,BGDXX,2014,S1D5,S1,D5,Winter (Dec-Feb),Late evening (20-22),0.0,0.0,0.0,0.0,118,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2014,S1D6,S1,D6,Winter (Dec-Feb),Late night (22-24),0.0,0.0,0.0,0.0,118,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2014,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-05),0.0,0.0,0.0,0.0,460,23.7231,90.4086,6.0,0.052511
solar,BGDXX,2014,S2D2,S2,D2,Pre-monsoon (Mar-May),Morning ramp (05-08),0.091591,0.095772,0.277,0.0,276,23.7231,90.4086,6.0,0.031507
solar,BGDXX,2014,S2D3,S2,D3,Pre-monsoon (Mar-May),Solar day (08-17),0.48445,0.163632,0.767,0.084,828,23.7231,90.4086,6.0,0.094521
solar,BGDXX,2014,S2D4,S2,D4,Pre-monsoon (Mar-May),Evening peak (17-20),0.01588,0.02508,0.087,0.0,276,23.7231,90.4086,6.0,0.031507
solar,BGDXX,2014,S2D5,S2,D5,Pre-monsoon (Mar-May),Late evening (20-22),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2014,S2D6,S2,D6,Pre-monsoon (Mar-May),Late night (22-24),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2014,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-05),0.0,0.0,0.0,0.0,610,23.7231,90.4086,6.0,0.069635
solar,BGDXX,2014,S3D2,S3,D2,SW Monsoon (Jun-Sep),Morning ramp (05-08),0.071656,0.077399,0.273,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2014,S3D3,S3,D3,SW Monsoon (Jun-Sep),Solar day (08-17),0.364546,0.151301,0.715,0.047,1098,23.7231,90.4086,6.0,0.125342
solar,BGDXX,2014,S3D4,S3,D4,SW Monsoon (Jun-Sep),Evening peak (17-20),0.015137,0.025754,0.101,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2014,S3D5,S3,D5,SW Monsoon (Jun-Sep),Late evening (20-22),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2014,S3D6,S3,D6,SW Monsoon (Jun-Sep),Late night (22-24),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2014,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-05),0.0,0.0,0.0,0.0,305,23.7231,90.4086,6.0,0.034817
solar,BGDXX,2014,S4D2,S4,D2,Post-monsoon (Oct-Nov),Morning ramp (05-08),0.051568,0.074028,0.221,0.0,183,23.7231,90.4086,6.0,0.02089
solar,BGDXX,2014,S4D3,S4,D3,Post-monsoon (Oct-Nov),Solar day (08-17),0.453517,0.183612,0.729,0.033,549,23.7231,90.4086,6.0,0.062671
solar,BGDXX,2014,S4D4,S4,D4,Post-monsoon (Oct-Nov),Evening peak (17-20),0.001372,0.003874,0.019,0.0,183,23.7231,90.4086,6.0,0.02089
solar,BGDXX,2014,S4D5,S4,D5,Post-monsoon (Oct-Nov),Late evening (20-22),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2014,S4D6,S4,D6,Post-monsoon (Oct-Nov),Late night (22-24),0.0,0.0,0.0,0.0,122,23.7231,90.4086,6.0,0.013927
solar,BGDXX,2015,S1D1,S1,D1,Winter (Dec-Feb),Night (00-05),0.0,0.0,0.0,0.0,450,23.7231,90.4086,6.0,0.05137
solar,BGDXX,2015,S1D2,S1,D2,Winter (Dec-Feb),Morning ramp (05-08),0.042315,0.064168,0.212,0.0,270,23.7231,90.4086,6.0,0.030822
solar,BGDXX,2015,S1D3,S1,D3,Winter (Dec-Feb),Solar day (08-17),0.449132,0.187158,0.737,0.021,810,23.7231,90.4086,6.0,0.092466
solar,BGDXX,2015,S1D4,S1,D4,Winter (Dec-Feb),Evening peak (17-20),0.000252,0.001212,0.009,0.0,270,23.7231,90.4086,6.0,0.030822
solar,BGDXX,2015,S1D5,S1,D5,Winter (Dec-Feb),Late evening (20-22),0.0,0.0,0.0,0.0,180,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2015,S1D6,S1,D6,Winter (Dec-Feb),Late night (22-24),0.0,0.0,0.0,0.0,180,23.7231,90.4086,6.0,0.020548
solar,BGDXX,2015,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-05),0.0,0.0,0.0,0.0,460,23.7231,90.4086,6.0,0.052511
solar,BGDXX,2015,S2D2,S2,D2,Pre-monsoon (Mar-May),Morning ramp (05-08),0.084808,0.092578,0.3,0.0,276,23.7231,90.4086,6.0,0.031507
solar,BGDXX,2015,S2D3,S2,D3,Pre-monsoon (Mar-May),Solar day (08-17),0.451141,0.169706,0.782,0.075,828,23.7231,90.4086,6.0,0.094521
solar,BGDXX,2015,S2D4,S2,D4,Pre-monsoon (Mar-May),Evening peak (17-20),0.014424,0.022963,0.086,0.0,276,23.7231,90.4086,6.0,0.031507
solar,BGDXX,2015,S2D5,S2,D5,Pre-monsoon (Mar-May),Late evening (20-22),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2015,S2D6,S2,D6,Pre-monsoon (Mar-May),Late night (22-24),0.0,0.0,0.0,0.0,184,23.7231,90.4086,6.0,0.021005
solar,BGDXX,2015,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-05),0.0,0.0,0.0,0.0,610,23.7231,90.4086,6.0,0.069635
solar,BGDXX,2015,S3D2,S3,D2,SW Monsoon (Jun-Sep),Morning ramp (05-08),0.067746,0.075298,0.28,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2015,S3D3,S3,D3,SW Monsoon (Jun-Sep),Solar day (08-17),0.344216,0.154924,0.712,0.04,1098,23.7231,90.4086,6.0,0.125342
solar,BGDXX,2015,S3D4,S3,D4,SW Monsoon (Jun-Sep),Evening peak (17-20),0.013997,0.024691,0.104,0.0,366,23.7231,90.4086,6.0,0.041781
solar,BGDXX,2015,S3D5,S3,D5,SW Monsoon (Jun-Sep),Late evening (20-22),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
solar,BGDXX,2015,S3D6,S3,D6,SW Monsoon (Jun-Sep),Late night (22-24),0.0,0.0,0.0,0.0,244,23.7231,90.4086,6.0,0.027854
