resource,region,year_file,header_description,unit_time,unit_electricity,param_lat,param_lon,param_date_from,param_date_to,param_dataset,param_capacity,param_system_loss,param_tracking,param_tilt,param_azim,param_header,n_rows,cf_mean,cf_max,utc_offset,filepath,param_height,param_turbine
solar,INDEA,2017,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 22.495, 88.325 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,22.495,88.3247,2017-01-01,2017-12-31,merra2,1.0,0.1,0,22,180,true,8760,0.1624,0.774,5.5,./ninja_data/solar\solar_INDEA_2017.csv,,
solar,INDEA,2018,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 22.495, 88.325 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,22.495,88.3247,2018-01-01,2018-12-31,merra2,1.0,0.1,0,22,180,true,8760,0.1658,0.766,5.5,./ninja_data/solar\solar_INDEA_2018.csv,,
solar,INDEA,2019,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 22.495, 88.325 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,22.495,88.3247,2019-01-01,2019-12-31,merra2,1.0,0.1,0,22,180,true,8760,0.1667,0.773,5.5,./ninja_data/solar\solar_INDEA_2019.csv,,
solar,INDEA,2020,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 22.495, 88.325 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,22.495,88.3247,2020-01-01,2020-12-31,merra2,1.0,0.1,0,22,180,true,8784,0.1651,0.767,5.5,./ninja_data/solar\solar_INDEA_2020.csv,,
solar,INDEA,2021,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 22.495, 88.325 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,22.495,88.3247,2021-01-01,2021-12-31,merra2,1.0,0.1,0,22,180,true,8760,0.1602,0.739,5.5,./ninja_data/solar\solar_INDEA_2021.csv,,
solar,INDEA,2022,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 22.495, 88.325 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,22.495,88.3247,2022-01-01,2022-12-31,merra2,1.0,0.1,0,22,180,true,8760,0.1673,0.772,5.5,./ninja_data/solar\solar_INDEA_2022.csv,,
solar,INDNE,2014,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 26.160, 91.770 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,26.16,91.77,2014-01-01,2014-12-31,merra2,1.0,0.1,0,26,180,true,8760,0.1718,0.785,5.5,./ninja_data/solar\solar_INDNE_2014.csv,,
solar,INDNE,2015,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 26.160, 91.770 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,26.16,91.77,2015-01-01,2015-12-31,merra2,1.0,0.1,0,26,180,true,8760,0.1683,0.781,5.5,./ninja_data/solar\solar_INDNE_2015.csv,,
solar,INDNE,2016,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 26.160, 91.770 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,26.16,91.77,2016-01-01,2016-12-31,merra2,1.0,0.1,0,26,180,true,8784,0.1667,0.761,5.5,./ninja_data/solar\solar_INDNE_2016.csv,,
solar,INDNE,2017,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 26.160, 91.770 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,26.16,91.77,2017-01-01,2017-12-31,merra2,1.0,0.1,0,26,180,true,8760,0.1694,0.795,5.5,./ninja_data/solar\solar_INDNE_2017.csv,,
solar,INDNE,2018,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 26.160, 91.770 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,26.16,91.77,2018-01-01,2018-12-31,merra2,1.0,0.1,0,26,180,true,8760,0.1714,0.769,5.5,./ninja_data/solar\solar_INDNE_2018.csv,,
solar,INDNE,2019,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 26.160, 91.770 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,26.16,91.77,2019-01-01,2019-12-31,merra2,1.0,0.1,0,26,180,true,8760,0.1759,0.804,5.5,./ninja_data/solar\solar_INDNE_2019.csv,,
solar,INDNE,2020,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 26.160, 91.770 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,26.16,91.77,2020-01-01,2020-12-31,merra2,1.0,0.1,0,26,180,true,8784,0.1745,0.774,5.5,./ninja_data/solar\solar_INDNE_2020.csv,,
solar,INDNE,2021,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 26.160, 91.770 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,26.16,91.77,2021-01-01,2021-12-31,merra2,1.0,0.1,0,26,180,true,8760,0.175,0.752,5.5,./ninja_data/solar\solar_INDNE_2021.csv,,
solar,INDNE,2022,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 26.160, 91.770 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,26.16,91.77,2022-01-01,2022-12-31,merra2,1.0,0.1,0,26,180,true,8760,0.1797,0.788,5.5,./ninja_data/solar\solar_INDNE_2022.csv,,
solar,INDNO,2014,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 28.670, 77.230 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,28.67,77.23,2014-01-01,2014-12-31,merra2,1.0,0.1,0,29,180,true,8760,0.1929,0.802,5.5,./ninja_data/solar\solar_INDNO_2014.csv,,
solar,INDNO,2015,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 28.670, 77.230 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,28.67,77.23,2015-01-01,2015-12-31,merra2,1.0,0.1,0,29,180,true,8760,0.1928,0.808,5.5,./ninja_data/solar\solar_INDNO_2015.csv,,
solar,INDNO,2016,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 28.670, 77.230 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,28.67,77.23,2016-01-01,2016-12-31,merra2,1.0,0.1,0,29,180,true,8784,0.1879,0.8,5.5,./ninja_data/solar\solar_INDNO_2016.csv,,
solar,INDNO,2017,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 28.670, 77.230 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,28.67,77.23,2017-01-01,2017-12-31,merra2,1.0,0.1,0,29,180,true,8760,0.1895,0.817,5.5,./ninja_data/solar\solar_INDNO_2017.csv,,
solar,INDNO,2018,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 28.670, 77.230 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,28.67,77.23,2018-01-01,2018-12-31,merra2,1.0,0.1,0,29,180,true,8760,0.1849,0.782,5.5,./ninja_data/solar\solar_INDNO_2018.csv,,
solar,INDNO,2019,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 28.670, 77.230 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,28.67,77.23,2019-01-01,2019-12-31,merra2,1.0,0.1,0,29,180,true,8760,0.1816,0.792,5.5,./ninja_data/solar\solar_INDNO_2019.csv,,
solar,INDNO,2020,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 28.670, 77.230 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,28.67,77.23,2020-01-01,2020-12-31,merra2,1.0,0.1,0,29,180,true,8784,0.19,0.801,5.5,./ninja_data/solar\solar_INDNO_2020.csv,,
solar,INDNO,2021,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 28.670, 77.230 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,28.67,77.23,2021-01-01,2021-12-31,merra2,1.0,0.1,0,29,180,true,8760,0.1842,0.782,5.5,./ninja_data/solar\solar_INDNO_2021.csv,,
solar,INDNO,2022,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 28.670, 77.230 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,28.67,77.23,2022-01-01,2022-12-31,merra2,1.0,0.1,0,29,180,true,8760,0.1871,0.799,5.5,./ninja_data/solar\solar_INDNO_2022.csv,,
solar,INDSO,2014,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 12.972, 77.581 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,12.9724,77.5806,2014-01-01,2014-12-31,merra2,1.0,0.1,0,13,180,true,8760,0.1883,0.792,5.5,./ninja_data/solar\solar_INDSO_2014.csv,,
solar,INDSO,2015,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 12.972, 77.581 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,12.9724,77.5806,2015-01-01,2015-12-31,merra2,1.0,0.1,0,13,180,true,8760,0.1913,0.814,5.5,./ninja_data/solar\solar_INDSO_2015.csv,,
solar,INDSO,2016,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 12.972, 77.581 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,12.9724,77.5806,2016-01-01,2016-12-31,merra2,1.0,0.1,0,13,180,true,8784,0.1929,0.784,5.5,./ninja_data/solar\solar_INDSO_2016.csv,,
solar,INDSO,2017,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 12.972, 77.581 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,12.9724,77.5806,2017-01-01,2017-12-31,merra2,1.0,0.1,0,13,180,true,8760,0.1856,0.803,5.5,./ninja_data/solar\solar_INDSO_2017.csv,,
solar,INDSO,2018,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 12.972, 77.581 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,12.9724,77.5806,2018-01-01,2018-12-31,merra2,1.0,0.1,0,13,180,true,8760,0.1894,0.818,5.5,./ninja_data/solar\solar_INDSO_2018.csv,,
solar,INDSO,2019,"Renewables.ninja Solar photovoltaic power (PV) (Point API) - 12.972, 77.581 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",UTC,kW,12.9724,77.5806,2019-01-01,2019-12-31,merra2,1.0,0.1,0,13,180,true,8760,0.1855,0.79,5.5,./ninja_data/solar\solar_INDSO_2019.csv,,
