timeslice,season,daypart,tech_code,tech_type,cf_dispatch,cf_ninja,cf_da_workbook,cf_default,source_notes
S2D2,Pre-monsoon (Mar-May),Day (08-16),PWRGASINDEA,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Day (08-16),PWROILINDEA,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S2D2,Pre-monsoon (Mar-May),Day (08-16),PWRNGAINDEA,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Evening (16-24),PWRHYDINDEA,Hydro_HYD,,,0.183473,,CEA fleet PLF
S2D3,Pre-monsoon (Mar-May),Evening (16-24),PWRHDRINDEA,Hydro_HDR,,,0.183473,,CEA fleet PLF
S2D3,Pre-monsoon (Mar-May),Evening (16-24),PWRHROINDEA,Hydro_HRO,,,0.183473,,CEA fleet PLF
S2D3,Pre-monsoon (Mar-May),Evening (16-24),PWRSPVINDEA,Solar,,0.008255,,,Ninja
S2D3,Pre-monsoon (Mar-May),Evening (16-24),PWRWONINDEA,Wind,,0.453940,,,Ninja
S2D3,Pre-monsoon (Mar-May),Evening (16-24),PWRCOAINDEA,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Evening (16-24),PWRGASINDEA,GAS,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Evening (16-24),PWROILINDEA,OIL,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S2D3,Pre-monsoon (Mar-May),Evening (16-24),PWRNGAINDEA,NGA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
S3D1,SW Monsoon (Jun-Sep),Night (00-08),PWRHYDINDEA,Hydro_HYD,,,0.401281,,CEA fleet PLF
S3D1,SW Monsoon (Jun-Sep),Night (00-08),PWRHDRINDEA,Hydro_HDR,,,0.401281,,CEA fleet PLF
S3D1,SW Monsoon (Jun-Sep),Night (00-08),PWRHROINDEA,Hydro_HRO,,,0.401281,,CEA fleet PLF
S3D1,SW Monsoon (Jun-Sep),Night (00-08),PWRSPVINDEA,Solar,,0.050897,,,Ninja
S3D1,SW Monsoon (Jun-Sep),Night (00-08),PWRWONINDEA,Wind,,0.319403,,,Ninja
S3D1,SW Monsoon (Jun-Sep),Night (00-08),PWRCOAINDEA,COA,,,,1.0,thermal CF=1.0; CF=1.0 (dispatchable)
