sheet,tech,parameter,year,old_value,new_value,delta,source
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2023,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2024,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2025,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2026,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2027,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2028,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2029,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2030,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2031,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2032,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2033,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2034,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2035,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2036,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2037,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2038,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2039,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2040,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2041,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2042,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2043,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2044,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2045,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2046,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2047,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2048,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2049,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBGDXXINDEA,ResidualCapacity,2050,1.000000,2.500000,+1.500000,magnitude
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2035,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2036,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2037,0.750000,0.000000,-0.750000,split
Secondary Techs,TRNBTNXXBGDXX,ResidualCapacity,2038,0.750000,0.000000,-0.750000,split
